,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3113,3972,20512,0101010C0AAAAAA,010101
113,146,33290,0101010C0BBAAAA,010101
16936,21603,2952,0101010F0AAAUAU,010101
2819,3580,90,0101010F0BCAAAU,010101
1597,2032,1482547,0101010G0AAABAB,010101
4854,6207,1259217,0101010G0BBABAB,010101
3234,4130,1555448,0101010G0BCABAB,010101
2069,2633,4512,0101010I0AAABAB,010101
6746,8608,17885,0101010I0AAACAC,010101
10799,13746,536,0101010I0AAAEAE,010101
18429,23487,540,0101010I0AAATAT,010101
9579,12218,100,0101010I0AAAXAX,010101
18526,23610,1325,0101010I0AAAYAY,010101
6274,8018,2374,0101010I0AABIBI,010101
15570,19825,400,0101010I0AABPBP,010101
9483,12105,11149,0101010I0BEAAAC,010101
691,859,180,0101010I0BFABAB,010101
8433,10759,235991,0101010J0AAAAAA,010101
8900,11342,22251,0101010J0AAAHAH,010101
4850,6203,2500,0101010L0AAAIAI,010101
8596,10956,1500,0101010L0BBABAA,010101
3223,4118,527590,0101010L0BEAAAI,010101
10565,13454,83850,0101010N0AAABAB,010101
4781,6112,42480,0101010P0AAAAAA,010101
13621,17341,121820,0101010P0BBAAAA,010101
19443,24767,120515,0101010Q0AAAAAA,010101
18556,23645,43410,0101010Q0BDACAA,010101
18790,23949,16279,0101010R0AAAAAA,010101
9891,12593,55050,0101010R0AAABAB,010101
10807,13754,4617,0101010R0AAADAD,010101
11890,15151,24275,0101010R0AAAEAE,010101
17897,22817,21407,0101010R0AAAHAH,010101
270,342,142950,0101010R0BCAAAB,010101
9770,12442,22150,0101010R0BEAAAD,010101
20284,25849,8942,0101010R0BFAAAE,010101
14237,18112,3420,0101010R0BFABAH,010101
6640,8472,1443,0101010R0BHAAAA,010101
107,138,48,0101010S0AAAAAA,010101
10818,13768,30,0101010U0AAAAAA,010101
1614,2054,5160,0101010U0BBAAAA,010101
6119,7813,300,0101012A0AAAAAA,010101
