,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3071,3972,26066,0101010C0AAAAAA,010101
108,146,36264,0101010C0BBAAAA,010101
16676,21603,3060,0101010F0AAAUAU,010101
2769,3580,60,0101010F0BCAAAU,010101
1563,2032,1514386,0101010G0AAABAB,010101
4783,6207,1322442,0101010G0BBABAB,010101
3186,4130,1568972,0101010G0BCABAB,010101
2032,2633,5918,0101010I0AAABAB,010101
6664,8608,17871,0101010I0AAACAC,010101
10606,13746,2046,0101010I0AAAEAE,010101
10681,13834,140,0101010I0AAAHAH,010101
17212,22293,120,0101010I0AAALAL,010101
9411,12218,234,0101010I0AAAXAX,010101
18236,23610,1110,0101010I0AAAYAY,010101
6187,8018,1355,0101010I0AABIBI,010101
15333,19825,400,0101010I0AABPBP,010101
9317,12105,9840,0101010I0BEAAAC,010101
676,859,180,0101010I0BFABAB,010101
8306,10759,101400,0101010J0AAAAAA,010101
8753,11342,23322,0101010J0AAAHAH,010101
4780,6203,500,0101010L0AAAIAI,010101
3175,4118,538955,0101010L0BEAAAI,010101
10386,13454,93600,0101010N0AAABAB,010101
4712,6112,55200,0101010P0AAAAAA,010101
13410,17341,119860,0101010P0BBAAAA,010101
19145,24767,134720,0101010Q0AAAAAA,010101
18266,23645,50630,0101010Q0BDACAA,010101
18499,23949,13135,0101010R0AAAAAA,010101
9706,12593,44100,0101010R0AAABAB,010101
10612,13754,3920,0101010R0AAADAD,010101
11698,15151,22471,0101010R0AAAEAE,010101
17626,22817,21602,0101010R0AAAHAH,010101
264,342,120100,0101010R0BCAAAB,010101
9585,12442,18450,0101010R0BEAAAD,010101
19981,25849,8226,0101010R0BFAAAE,010101
14009,18112,2788,0101010R0BFABAH,010101
6552,8472,1664,0101010R0BHAAAA,010101
10625,13768,1800,0101010U0AAAAAA,010101
1579,2054,6510,0101010U0BBAAAA,010101
6036,7813,300,0101012A0AAAAAA,010101
9518,12360,1200,0101012A0BBAAAA,010101
10924,14153,218695,0101012B0AAABAB,010101
15665,20265,400,0101012B0AAALAL,010101
11168,14466,52180,0101012B0AAAPAP,010101
8770,11362,60,0101012B0AAATAT,010101
401,514,27700,0101012B0AAAUAU,010101
12367,15995,3500,0101012B0AABMBM,010101
14227,18393,1015,0101012B0AABSBS,010101
9035,11730,935,0101012B0AABVBV,010101
15276,19761,8490,0101012B0AABWBW,010101
12531,16200,96633,0101012B0BCAAAB,010101
854,1098,9800,0101012B0BIAAAB,010101
5842,7567,108,010102100AAABAB,010102
17528,22696,216,010102100AAAFAF,010102
12131,15690,22800,010102100AAAGAG,010102
