,stripped_bnf_code,quantity
0,010101,6314325
1,010102,188771443
2,010200,33912453
3,010300,906
4,010301,26844721
5,010302,3393
6,010303,135625
7,010304,41714
8,010305,186565606
9,010401,100
10,010402,13117484
11,010403,1064
12,010501,26932548
13,010502,389710
14,010504,188780
15,010601,8226601
16,010602,48225227
17,010603,78107
18,010604,176467898
19,010605,13603
20,010606,12123
21,010607,340586
22,010701,608041
23,010702,2497830
24,010703,8
25,010704,195990
26,010801,40848
27,010901,2665492
28,010904,11059527
29,020101,7386667
30,020201,50280509
31,020202,40232828
32,020203,8083643
33,020204,2036603
34,020208,259
35,020302,4617572
36,020400,121428636
37,020501,908332
38,020502,2495945
39,020504,27097173
40,020505,201662936
41,020601,15609512
42,020602,125772885
43,020603,11588385
44,020604,1385029
45,020701,168
46,020702,375260
47,020703,47
48,020801,684877
49,020802,67306641
50,020900,97611472
51,021100,2163428
52,021200,207112466
53,021300,2
54,030101,6959299
55,030102,14742764
56,030103,4080534
57,030104,489543
58,030200,2453917
59,030301,1370
60,030302,7084835
61,030303,5552
62,030401,50528641
63,030402,6754
64,030403,41741
65,030700,29195255
66,030800,121350
67,030901,9972341
68,030902,7440690
69,031000,1196761
70,031101,86
71,040101,20359450
72,040102,18057788
73,040103,20737
74,040201,30818110
75,040202,34098
76,040203,5491034
77,040301,71970297
78,040302,263393
79,040303,107472096
80,040304,35188255
81,040400,4728920
82,040501,2880428
83,040600,36558427
84,040701,443615009
85,040702,195802997
86,040703,230
87,040704,9089317
88,040801,191720394
89,040802,49757
90,040901,24442674
91,040902,4261931
92,040903,494384
93,041001,1241360
94,041002,2670283
95,041003,92800135
96,041100,7266003
97,050101,92566471
98,050102,3131901
99,050103,12843454
100,050104,28403
101,050105,16827303
102,050106,360036
103,050107,402534
104,050108,7791290
105,050109,276675
106,050110,97787
107,050111,1153067
108,050112,1349179
109,050113,5257265
110,050201,901047
111,050202,606
112,050203,2401448
113,050204,4
114,050205,1476248
115,050301,18328
116,050302,3827306
117,050303,3911
118,050304,20569
119,050305,142
120,050401,8744542
121,050402,30
122,050404,7102
123,050405,126
124,050408,7238
125,050501,266111
126,050502,1817
127,050503,118
128,050505,41
129,050506,196
130,060101,4855776
131,060102,236577922
132,060104,2081085
133,060106,60092762
134,060201,103197952
135,060202,2640077
136,060301,1363968
137,060302,39636623
138,060401,15743110
139,060402,10721848
140,060403,2424
141,060501,46815
142,060502,1159105
143,060601,161
144,060602,3365321
145,060701,152637
146,060702,29968
147,060703,18756
148,070101,57
149,070201,3797944
150,070202,959619
151,070301,33093882
152,070302,28468026
153,070303,17112
154,070305,12419
155,070401,21615338
156,070402,23681025
157,070403,839456
158,070404,1108
159,070405,2655490
160,070406,3049
161,080100,9235
162,080101,3171
163,080103,253163
164,080105,478210
165,080201,6885466
166,080202,1759210
167,080203,1
168,080204,232
169,080301,33651
170,080302,82848
171,080304,7214159
172,090101,46826843
173,090102,20383127
174,090103,10647
175,090104,12686
176,090106,190
177,090201,6653638
178,090202,1069001
179,090401,454580913
180,090402,1630706338
181,090501,3358480
182,090502,1655845
183,090503,1703244
184,090504,242159
185,090505,4142
186,090601,397765
187,090602,19180655
188,090603,489738
189,090604,101822626
190,090605,374494
191,090606,80874
192,090607,3943236
193,090700,300
194,090801,285791
195,090900,53760094
196,091000,1392800
197,091101,169082
198,091102,134375
199,091103,1106
200,091104,137769
201,091200,297485
202,100101,68391358
203,100102,78415
204,100103,10115293
205,100104,21372387
206,100105,15875
207,100201,1198202
208,100202,20243219
209,100301,28
210,100302,68467779
211,110301,1355871
212,110303,9761
213,110401,1027663
214,110402,1067891
215,110500,94134
216,110600,8057823
217,110700,996
218,110801,10625919
219,110802,98352
220,110803,14790
221,120101,472069
222,120102,6030
223,120103,74198
224,120201,1309327
225,120202,1030314
226,120203,555477
227,120301,7613482
228,120302,561355
229,120303,25353
230,120304,9665825
231,120305,247496
232,130101,4865981
233,130201,495852631
234,130202,16649877
235,130203,6675
236,130300,5219912
237,130400,50962020
238,130501,249998
239,130502,10030964
240,130503,691426
241,130601,6144631
242,130602,1105563
243,130603,24930
244,130700,212731
245,130801,1576711
246,130802,149125
247,130900,26260886
248,131001,3230925
249,131002,4424045
250,131003,95836
251,131004,1770470
252,131005,120620
253,131101,126605
254,131102,7493142
255,131103,606316
256,131104,221472
257,131105,160040
258,131106,59361
259,131107,40
260,131200,295759
261,131301,18528
262,131400,571352
263,131500,22457
264,140400,1053090
265,140501,46
266,140502,1
267,150101,257
268,150102,37
269,150103,100835
270,150104,164037
271,150201,1867542
272,180300,4700
