,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3088,3972,17784,0101010C0AAAAAA,0101
109,146,27146,0101010C0BBAAAA,0101
16730,21603,3070,0101010F0AAAUAU,0101
2794,3580,120,0101010F0BCAAAU,0101
1577,2032,1328950,0101010G0AAABAB,0101
4828,6207,1125460,0101010G0BBABAB,0101
3208,4130,1478612,0101010G0BCABAB,0101
2053,2633,6082,0101010I0AAABAB,0101
6700,8608,17124,0101010I0AAACAC,0101
10691,13746,1832,0101010I0AAAEAE,0101
10759,13834,112,0101010I0AAAHAH,0101
17263,22293,60,0101010I0AAALAL,0101
9487,12218,212,0101010I0AAAXAX,0101
18293,23610,450,0101010I0AAAYAY,0101
6227,8018,1488,0101010I0AABIBI,0101
15367,19825,400,0101010I0AABPBP,0101
9395,12105,8540,0101010I0BEAAAC,0101
673,859,540,0101010I0BFABAB,0101
7627,9807,240,0101010I0BFADAC,0101
16649,21500,30,0101010I0BFAEAY,0101
8355,10759,78150,0101010J0AAAAAA,0101
8817,11342,19073,0101010J0AAAHAH,0101
4825,6203,500,0101010L0AAAIAI,0101
3196,4118,457770,0101010L0BEAAAI,0101
10461,13454,83600,0101010N0AAABAB,0101
4761,6112,44175,0101010P0AAAAAA,0101
13466,17341,86740,0101010P0BBAAAA,0101
19202,24767,119320,0101010Q0AAAAAA,0101
18323,23645,49588,0101010Q0BDACAA,0101
18553,23949,14424,0101010R0AAAAAA,0101
9785,12593,40850,0101010R0AAABAB,0101
10697,13754,3220,0101010R0AAADAD,0101
11769,15151,19363,0101010R0AAAEAE,0101
17675,22817,18698,0101010R0AAAHAH,0101
265,342,110800,0101010R0BCAAAB,0101
9662,12442,16520,0101010R0BEAAAD,0101
20024,25849,7416,0101010R0BFAAAE,0101
14057,18112,2398,0101010R0BFABAH,0101
6587,8472,808,0101010R0BHAAAA,0101
12977,16689,400,0101010T0BBAAA0,0101
1594,2054,6510,0101010U0BBAAAA,0101
6080,7813,450,0101012A0AAAAAA,0101
9598,12360,900,0101012A0BBAAAA,0101
11003,14153,204551,0101012B0AAABAB,0101
15714,20265,200,0101012B0AAALAL,0101
11243,14466,58750,0101012B0AAAPAP,0101
397,514,17000,0101012B0AAAUAU,0101
11861,15255,1200,0101012B0AAAVAV,0101
4424,5692,3000,0101012B0AAAZAZ,0101
12432,15995,3000,0101012B0AABMBM,0101
9099,11730,395,0101012B0AABVBV,0101
15313,19761,11120,0101012B0AABWBW,0101
12596,16200,80678,0101012B0BCAAAB,0101
5611,7203,400,0101012B0BGAAAB,0101
856,1098,8700,0101012B0BIAAAB,0101
5882,7567,184,010102100AAABAB,0101
17577,22696,450,010102100AAAFAF,0101
12191,15690,32160,010102100AAAGAG,0101
17549,22659,84,010102100AAAHAH,0101
7124,9167,4805,010102100AAAIAI,0101
16541,21359,5636,010102100BBABAB,0101
18153,23431,4324,010102100BBAQAF,0101
14593,18803,1224,010102100BBARAF,0101
677,863,84,010102100BBAUA0,0101
14741,18985,720,010102100BBAWAG,0101
8879,11417,28,010102100BBAXA0,0101
18338,23665,348,010102100BBAZA0,0101
9740,12539,288,010102100BBBAAH,0101
5072,6517,448,010102100BBBCAF,0101
10069,12960,1692,010102100BBBDAI,0101
11318,14575,4474650,0101021B0AAAHAH,0101
892,1141,7011,0101021B0AAAJAJ,0101
525,677,19935909,0101021B0AAALAL,0101
4589,5900,24,0101021B0AAAMAM,0101
6595,8486,403713,0101021B0AAAPAP,0101
8451,10872,1012,0101021B0BCAAAC,0101
12990,16710,4000,0101021B0BCABAI,0101
14711,18946,60,0101021B0BEABAG,0101
18146,23419,3539296,0101021B0BEACAH,0101
17576,22695,1374628,0101021B0BEADAJ,0101
6673,8577,2187552,0101021B0BEAFAH,0101
7964,10242,45698256,0101021B0BEAIAL,0101
20,28,15657,0101021B0BEAJAM,0101
9072,11693,156,0101021B0BEAMA0,0101
2653,3397,581650,0101021B0BEANAH,0101
20500,26443,4706,0101021B0BEAPA0,0101
8823,11349,1539611,0101021B0BEAQAP,0101
19550,25221,170308,0101021B0BEARA0,0101
990,1267,1194150,0101021B0BEASA0,0101
8445,10865,84008,0101021B0BEAUA0,0101
14253,18366,1100,0101021B0BEAVA0,0101
16406,21192,28776,0101021B0BEAWA0,0101
15737,20293,2644,0101021B0BEBDA0,0101
20540,26491,31100493,0101021B0BEBEAL,0101
14754,18998,23028446,0101021B0BIAAAH,0101
18275,23588,28816737,0101021B0BIABAH,0101
9501,12234,273590,0101021B0BQAAAH,0101
18905,24401,291250,0101021B0BQABAH,0101
2680,3432,50060,0101021B0BQACAL,0101
17265,22296,35300,0101021B0BQADAL,0101
7230,9296,5800,0101021C0AAAFAF,0101
14753,18997,1180,0101021C0AAATAT,0101
10861,13970,84,0101021C0AABDBD,0101
15539,20042,112,0101021C0AABQBQ,0101
21460,27631,2462,0101021C0AABXBX,0101
3120,4015,3650,0101021C0AACECE,0101
12630,16247,8898,0101021C0AACICI,0101
13438,17307,750,0101021C0AACWCW,0101
8193,10546,17400,0101021C0AACXCX,0101
5425,6963,6350,0101021C0AACYCY,0101
15380,19840,1341,0101021C0BBAAAF,0101
2323,2977,1050,0101021C0BIABAF,0101
356,459,1093846,0102000A0AAAAAA,0102
345,446,484273,0102000A0AAABAB,0102
680,867,117072,0102000A0BBAAAA,0102
17084,22065,33655,0102000A0BBABAB,0102
6005,7719,28581,0102000A0BDAAAA,0102
6816,8761,14179,0102000A0BDABAB,0102
5517,7084,812,0102000ACAAAGAG,0102
13805,17784,50,0102000ACAAAZAZ,0102
20200,26062,2650,0102000ACAABBBB,0102
11927,15349,1170,0102000D0BCAAAF,0102
4247,5460,98310,0102000J0AAAAAA,0102
7178,9232,241091,0102000J0AAABAB,0102
9401,12112,132852,0102000J0AAACAC,0102
9239,11909,100,0102000J0BBAAAB,0102
17730,22886,2300,0102000K0AAAAAA,0102
13290,17094,1317670,0102000K0BBAAAA,0102
8764,11276,50005,0102000L0AAAAAA,0102
17294,22337,84676,0102000L0AAACAC,0102
21360,27497,176337,0102000L0AAADAD,0102
10791,13879,3420,0102000L0AAAGAG,0102
13282,17083,1100,0102000L0AAAHAH,0102
4784,6147,460,0102000L0AAANAN,0102
7575,9746,450,0102000L0AAAVAV,0102
15458,19941,100,0102000L0AAAXAX,0102
19213,24779,13500,0102000L0AAAZAZ,0102
19141,24696,28140,0102000L0AABABA,0102
6278,8079,1800,0102000L0AABBBB,0102
21386,27537,6286,0102000L0AABCBC,0102
7019,9032,11950,0102000L0AABDBD,0102
10092,12984,10950,0102000L0AABEBE,0102
3024,3887,17746,0102000L0AABFBF,0102
16255,20997,13982,0102000L0AABGBG,0102
5199,6679,12680,0102000L0AABHBH,0102
17690,22836,8700,0102000L0AABIBI,0102
6950,8940,604,0102000L0AABKBK,0102
21875,28183,2400,0102000L0AABMBM,0102
19,27,205800,0102000L0AABNBN,0102
10667,13718,1000,0102000L0AABQBQ,0102
19664,25363,112,0102000L0BBABAA,0102
18859,24346,100,0102000L0BBACAC,0102
17378,22451,750,0102000L0BCAABQ,0102
10021,12900,76987,0102000N0AAAAAA,0102
14029,18083,7027858,0102000N0AAABAB,0102
12231,15737,9440,0102000N0AAAPAP,0102
14489,18663,6790,0102000N0AAAQAQ,0102
84,115,1816411,0102000N0BBAAAB,0102
1623,2092,6717,0102000N0BBABAA,0102
19556,25229,16776,0102000N0BBACAB,0102
21764,28042,16480,0102000N0BBADAB,0102
1869,2398,286351,0102000P0AAAAAA,0102
932,1195,9633189,0102000P0AAABAB,0102
6336,8143,1232936,0102000P0AAADAD,0102
18580,23987,1025839,0102000P0BCABAB,0102
3172,4089,8661,0102000P0BCACAB,0102
4512,5810,210140,0102000P0BCAEAD,0102
2924,3757,2125327,0102000T0AAAAAA,0102
5736,7377,1200,0102000T0AAABAB,0102
14384,18533,807746,0102000T0AAAFAF,0102
2410,3091,542655,0102000T0BBAAAF,0102
21855,28157,174353,0102000T0BCAAAA,0102
17657,22794,10112,0102000T0BIAAAA,0102
7272,9346,1581,0102000T0BJAAAA,0102
10508,13511,174258,0102000X0AAAAAA,0102
15072,19434,197859,0102000X0BCAAAA,0102
9654,12434,388306,0102000Y0AAAFAF,0102
13966,17999,49720,0102000Y0BBAAAF,0102
3246,4179,33,010300000AAAAAA,0103
2833,3634,13,010300000AAABAB,0103
15723,20275,111,010300000AAADAD,0103
4298,5526,2,010300000AAAEAE,0103
18206,23497,252,010300000BBAAAA,0103
15012,19348,161,010300000BBABAB,0103
12298,15826,371,010300000BBADAD,0103
14562,18764,9170,0103010D0AAAAAA,0103
16215,20937,144251,0103010D0AAABAB,0103
2948,3787,1703,0103010D0AAACAC,0103
10549,13566,28220,0103010D0AAADAD,0103
1910,2454,22880,0103010D0AAALAL,0103
20953,27003,176,0103010D0BBAAAA,0103
21461,27632,1188,0103010D0BBABAB,0103
8897,11441,5000,0103010D0BBADAD,0103
5927,7616,18593,0103010H0AAAAAA,0103
8564,11012,17154,0103010H0AAABAB,0103
