,stripped_bnf_code,quantity
0,0101,170535224
1,0102,30069351
2,0103,187468317
3,0104,11276356
4,0105,23747241
5,0106,206776166
6,0107,3134713
7,0108,29818
8,0109,11696490
9,0201,6356108
10,0202,87030361
11,0203,3970711
12,0204,106451785
13,0205,202559325
14,0206,135521489
15,0207,339166
16,0208,58563106
17,0209,84416001
18,0211,2066306
19,0212,181360191
20,0213,3
21,0301,22407379
22,0302,2080285
23,0303,6225856
24,0304,46943553
25,0307,25512144
26,0308,83940
27,0309,12762066
28,0310,970182
29,0401,33927088
30,0402,32316564
31,0403,191174007
32,0404,4187323
33,0405,2843890
34,0406,32147561
35,0407,562505216
36,0408,168489004
37,0409,25293638
38,0410,87203891
39,0411,6396756
40,0501,122607418
41,0502,4809088
42,0503,3517469
43,0504,7422973
44,0505,284850
45,0601,266407516
46,0602,92608513
47,0603,33674278
48,0604,23724424
49,0605,1060859
50,0606,2918919
51,0607,172252
52,0702,4409908
53,0703,57619670
54,0704,42798270
55,0801,643381
56,0802,7407648
57,0803,6429251
58,0901,61971708
59,0902,6782755
60,0904,1891963058
61,0905,6225360
62,0906,113677595
63,0907,300
64,0908,235083
65,0909,53740312
66,0910,1219053
67,0911,382871
68,0912,266232
69,1001,88245600
70,1002,18706839
71,1003,62820518
72,1103,1620533
73,1104,1974067
74,1105,82755
75,1106,7138319
76,1107,1546
77,1108,9392222
78,1201,455377
79,1202,2681285
80,1203,15900107
81,1301,4473627
82,1302,476084402
83,1303,5253880
84,1304,49696414
85,1305,10483722
86,1306,6978332
87,1307,229199
88,1308,1777630
89,1309,24848441
90,1310,9238420
91,1311,7880357
92,1312,290708
93,1313,16266
94,1314,539857
95,1315,21815
96,1404,461519
97,1405,17
98,1501,232177
99,1502,1749008
100,1803,2000
