index,bnf_code,bnf_name,practice,stripped_bnf
0,091200000BFMBDG,Salts_Second Nature Flng 32mm Wafer 110,Y05644,091200
1,1501041T0AAATAT,Sigvaris Traditional 500 CL2 Thigh Open,D83013,150104
10,23605906047,Baxter_Viaflex Sod ChlorI/V Inf.45%500ml,E85126,236059
100,0206020C0AABFBF,Zyprexa_Velotab 20mg,Y04663,020602
1000,23602406009,Sod Chlor_I/V Inf 0.9% 50ml Amp,E85059,236024
10000,091200000BFQKA0,Pyridox HCl_Liq Spec 25mg/5ml,Y04981,091200
10001,190700000BBCJA0,Kendall 10cm x 14cm Wound Dress Calc Alg,P83025,190700
10002,20030500015,Dansac_NovaLife 1 Convex Midi Ileo Bag C,Y05279,200305
10003,23550605500,Limb Limbo Adult 1/2 Leg Lge Build Water,Y02467,235506
10004,0410030C0BEAAAF,Glyceryl Trinit Oint 0.2%/WSP_Oint,E82131,041003
10005,0904010W0AAAEAE,Easifix 5cm x 4m Polyam & Cellulose Cont,L81085,090401
10006,0501040U0AAAKAK,Lamotrigine_Liq Spec 25mg/5ml,A82064,050104
10007,21270000258,Aciferol D3_Oral Soln 3 000u/ml,Y04097,212700
10008,0902021S0BBAVCJ,Aknicare Lot,P92012,090202
10009,0501030P0BBACAC,Elleste Solo_Tab 2mg,K82039,050103
1001,21020000591,Mefenamic Acid_Liq Spec 500mg/5ml,P81712,210200
10010,22600126000,Heron_G/F Organ Hi Fibre Bread Mix,Y04189,226001
10011,21020001241,Atenolol_Tab 100mg,G82217,210200
10012,0206020C0BYAAAJ,Fortuna Fast 10.75cmx5m (Yellow)Stkntte,B85060,020602
10013,0401020G0AAAAAA,Lloyds_Rehyd Tt Gran sach 4.87g,M92030,040102
10014,21200000045,Macoflex_Sod Chlor I/V Inf 0.9% 50ml,M85111,212000
10015,0403030L0AAABAB,Coal Tar Soln 5%/WSP_Oint,M83712,040303
10016,0203020F0AAARAR,Frusol_Oral Soln 50mg/5ml S/F,G85644,020302
10017,21280000124,Seebri_Breezhaler Inh Cap 55mcg + Dev,Y01950,212800
10018,21270000510,Phytomenadione_Liq Spec 500mcg/5ml,P85622,212700
10019,20030100432,Instanyl_Nsl Spy 200mcg (20D),Y00108,200301
1002,23151001503,Tegaderm Absorb Clr 16.8cm x 19cm Acryli,Y02420,231510
10020,0410030A0AAAMAM,Skinnies Silk Vest Sleeveless Adult Sml,E85687,041003
10021,0906026V0BBACAA,Jobst Bellavar Class 2 Knee High Open To,J82113,090602
10022,0205051L0AAAIAI,Salts_Harmony Duo Drnbl Lge Pouch 13-50m,Y02716,020505
10023,0501070I0BBACAE,Pro D3_Cap 1 000u,Y01676,050107
10024,21270000160,Qufora Twostep Hydro Fle 10-14 (30-Pack),B83070,212700
10025,1303000F0BCAAAA,Juzo Hostess Class 2 Tights Open Toe Lym,Y00446,130300
10026,0102000L0AAAWAW,Eesiban 10cm x 5m Stkntte Ribbed Tublr,C82624,010200
10027,21270000851,Venlafaxine_Cap 37.5mg M/R,Y01139,212700
10028,20090000963,Savlon_Disinfectant Liq,M82048,200900
10029,22306053000,H/Percep_Glucosamine Tab,Y01815,223060
1003,0501050H0AAANAN,Ciprofloxacin_Eye Dps 0.3%,Y04886,050105
10030,22603776001,Anusol_Suppos,G82028,226037
10031,21010900829,Burinex_Tab 1mg,L81054,210109
10032,20020200956,Milupa_LP Drink,P85025,200202
10033,22501755009,Kendall 30cm x 61cm Wound Dress Calc Alg,Y04010,225017
10034,0906040N0AACPCP,Dansac_Nova 1 Convex Colo Bag Clr C/Fit,F85669,090604
10035,20031600032,CliniFast Mittens 0-24 Months Elasctd Vi,E86038,200316
10036,0204000ACAAAAAA,Jade_Foam Pad Wte 90mm Diam 32mm Opening,M84018,020400
10037,0301020I0AAACAC,Welland_FreeStyle Vie Drnbl Ileo Pouch L,F81713,030102
10038,100101050BBAAAA,Nurofen Express_Capl 256mg,F86644,100101
10039,0503010B0AAAEAE,Darbepoetin Alfa_Inj 40mcg/0.4ml Pfs,E82121,050301
1004,0302000U0AAABAB,PremierBand 5cm x 4m Polyam & Cellulose,M81017,030200
10040,0901030N0AAAHAH,Qufora All Slc 2 Way Foy Fle Size 12-14,H81095,090103
10041,23354803592,Bramox_Tab 2.5mg,G81104,233548
10042,0204000M0BBABAB,Convatec_C/Sive Natura High Output Drnbl,N83015,020400
10043,23600106136,Ibucalm_Tab 200mg,Y05709,236001
10044,1306010C0AAABAB,Varenicline Tart_Tab 1mg,Y05040,130601
10045,0602010V0AABWBW,Promin_L/P Potato Pot + Croutons Sausage,Y02927,060201
10046,0906040N0AAFGFG,Nicorette_Chewing Gum 2mg S/F(Freshmint),J82007,090604
10047,22903409106,Coverflex 7.5cm x 1m (Blue) Stkntte Elas,F81192,229034
10048,1108010F0AACACA,Clopixol Conc_Inj 500mg/ml 1ml Amp,M87018,110801
10049,0408010H0AABEBE,Advazorb Border 10cm x 30cm Wound Dress,F83025,040801
1005,0207030A0BBAAAC,Sod Fluoride_Dental Paste 1.1% S/F,K81610,020703
10050,090401000BBQZA0,Ketoconazole_Crm 2%,Y02606,090401
10051,0302000N0AABFBF,Algosteril Rope 30cm/2g Wound Dress Cavi,Y05374,030200
