,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3081,3972,19605,0101010C0AAAAAA,0101
113,146,32566,0101010C0BBAAAA,0101
16639,21603,2656,0101010F0AAAUAU,0101
1581,2032,1431370,0101010G0AAABAB,0101
4797,6207,1292223,0101010G0BBABAB,0101
3196,4130,1589314,0101010G0BCABAB,0101
2053,2633,5386,0101010I0AAABAB,0101
6641,8608,17365,0101010I0AAACAC,0101
10610,13746,908,0101010I0AAAEAE,0101
10682,13834,112,0101010I0AAAHAH,0101
17184,22293,60,0101010I0AAALAL,0101
18130,23487,540,0101010I0AAATAT,0101
9401,12218,340,0101010I0AAAXAX,0101
18226,23610,956,0101010I0AAAYAY,0101
6178,8018,1863,0101010I0AABIBI,0101
15299,19825,200,0101010I0AABPBP,0101
9309,12105,12603,0101010I0BEAAAC,0101
677,859,180,0101010I0BFABAB,0101
16558,21500,30,0101010I0BFAEAY,0101
5616,7260,630,0101010I0BGAAAB,0101
8289,10759,111800,0101010J0AAAAAA,0101
8742,11342,19956,0101010J0AAAHAH,0101
8443,10956,500,0101010L0BBABAA,0101
3186,4118,500675,0101010L0BEAAAI,0101
10384,13454,85550,0101010N0AAABAB,0101
4730,6112,44135,0101010P0AAAAAA,0101
13390,17341,122810,0101010P0BBAAAA,0101
19135,24767,120260,0101010Q0AAAAAA,0101
18256,23645,65540,0101010Q0BDACAA,0101
18494,23949,16037,0101010R0AAAAAA,0101
9704,12593,45850,0101010R0AAABAB,0101
10617,13754,4550,0101010R0AAADAD,0101
11683,15151,19979,0101010R0AAAEAE,0101
17591,22817,19950,0101010R0AAAHAH,0101
271,342,131900,0101010R0BCAAAB,0101
9585,12442,22290,0101010R0BEAAAD,0101
19967,25849,7498,0101010R0BFAAAE,0101
13983,18112,3190,0101010R0BFABAH,0101
6531,8472,1652,0101010R0BHAAAA,0101
10628,13768,150,0101010U0AAAAAA,0101
1598,2054,1560,0101010U0BBAAAA,0101
6031,7813,300,0101012A0AAAAAA,0101
9519,12360,1050,0101012A0BBAAAA,0101
16444,21353,150,0101012A0BDABA0,0101
10922,14153,233668,0101012B0AAABAB,0101
15638,20265,500,0101012B0AAALAL,0101
11157,14466,46502,0101012B0AAAPAP,0101
8760,11362,60,0101012B0AAATAT,0101
409,514,13480,0101012B0AAAUAU,0101
11772,15255,600,0101012B0AAAVAV,0101
12341,15995,2400,0101012B0AABMBM,0101
14204,18393,1600,0101012B0AABSBS,0101
9023,11730,250,0101012B0AABVBV,0101
15243,19761,11230,0101012B0AABWBW,0101
12508,16200,90378,0101012B0BCAAAB,0101
861,1098,10700,0101012B0BIAAAB,0101
5839,7567,72,010102100AAABAB,0101
17494,22696,282,010102100AAAFAF,0101
12106,15690,28200,010102100AAAGAG,0101
17464,22659,48,010102100AAAHAH,0101
7063,9167,4166,010102100AAAIAI,0101
16450,21359,6080,010102100BBABAB,0101
15092,19569,56,010102100BBAMA0,0101
18079,23431,4480,010102100BBAQAF,0101
14512,18803,2136,010102100BBARAF,0101
14664,18985,300,010102100BBAWAG,0101
18272,23665,240,010102100BBAZA0,0101
9661,12539,312,010102100BBBAAH,0101
5043,6517,624,010102100BBBCAF,0101
9995,12960,1384,010102100BBBDAI,0101
11235,14575,4759085,0101021B0AAAHAH,0101
896,1141,7976,0101021B0AAAJAJ,0101
533,677,21520869,0101021B0AAALAL,0101
6540,8486,435967,0101021B0AAAPAP,0101
8382,10872,780,0101021B0BCAAAC,0101
12899,16710,4000,0101021B0BCABAI,0101
18071,23419,3765480,0101021B0BEACAH,0101
17493,22695,1508036,0101021B0BEADAJ,0101
6617,8577,2443775,0101021B0BEAFAH,0101
20282,26245,20,0101021B0BEAHAG,0101
7903,10242,50157895,0101021B0BEAIAL,0101
19,28,16950,0101021B0BEAJAM,0101
8999,11693,96,0101021B0BEAMA0,0101
2637,3397,664830,0101021B0BEANAH,0101
20442,26443,6128,0101021B0BEAPA0,0101
8748,11349,1681371,0101021B0BEAQAP,0101
19491,25221,184809,0101021B0BEARA0,0101
997,1267,1319090,0101021B0BEASA0,0101
8376,10865,90615,0101021B0BEAUA0,0101
16320,21192,33577,0101021B0BEAWA0,0101
15661,20293,3064,0101021B0BEBDA0,0101
20482,26491,33144528,0101021B0BEBEAL,0101
21740,28095,42,0101021B0BFAAAF,0101
14676,18998,24960620,0101021B0BIAAAH,0101
18208,23588,31055154,0101021B0BIABAH,0101
9415,12234,300840,0101021B0BQAAAH,0101
18848,24401,300600,0101021B0BQABAH,0101
2665,3432,35100,0101021B0BQACAL,0101
17186,22296,12300,0101021B0BQADAL,0101
7168,9296,5940,0101021C0AAAFAF,0101
11035,14296,30,0101021C0AAAPAP,0101
14675,18997,2212,0101021C0AAATAT,0101
10783,13970,84,0101021C0AABDBD,0101
15465,20042,28,0101021C0AABQBQ,0101
21398,27631,3078,0101021C0AABXBX,0101
3111,4015,1800,0101021C0AACECE,0101
12543,16247,8194,0101021C0AACICI,0101
13363,17307,420,0101021C0AACWCW,0101
8127,10546,18900,0101021C0AACXCX,0101
5401,6963,7500,0101021C0AACYCY,0101
15312,19840,740,0101021C0BBAAAF,0101
2315,2977,1006,0101021C0BIABAF,0101
7691,9969,36,0101021C0BJABAF,0101
366,459,1159247,0102000A0AAAAAA,0102
355,446,489812,0102000A0AAABAB,0102
683,867,124311,0102000A0BBAAAA,0102
17000,22065,36350,0102000A0BBABAB,0102
5959,7719,31149,0102000A0BDAAAA,0102
6760,8761,13182,0102000A0BDABAB,0102
5487,7084,738,0102000ACAAAGAG,0102
18620,24111,125,0102000ACAAAPAP,0102
4889,6328,300,0102000ACAAARAR,0102
20135,26062,3650,0102000ACAABBBB,0102
11841,15349,1540,0102000D0BCAAAF,0102
4239,5460,106880,0102000J0AAAAAA,0102
7114,9232,276144,0102000J0AAABAB,0102
9314,12112,152646,0102000J0AAACAC,0102
17647,22886,1000,0102000K0AAAAAA,0102
13206,17094,1384290,0102000K0BBAAAA,0102
8691,11276,53466,0102000L0AAAAAA,0102
17216,22337,96190,0102000L0AAACAC,0102
21300,27497,193802,0102000L0AAADAD,0102
10718,13879,3000,0102000L0AAAGAG,0102
13198,17083,500,0102000L0AAAHAH,0102
4753,6147,460,0102000L0AAANAN,0102
7515,9746,420,0102000L0AAAVAV,0102
15389,19941,100,0102000L0AAAXAX,0102
19145,24779,17050,0102000L0AAAZAZ,0102
19076,24696,32840,0102000L0AABABA,0102
6226,8079,2500,0102000L0AABBBB,0102
21325,27537,6676,0102000L0AABCBC,0102
6959,9032,15030,0102000L0AABDBD,0102
10017,12984,10750,0102000L0AABEBE,0102
3017,3887,22195,0102000L0AABFBF,0102
16175,20997,18930,0102000L0AABGBG,0102
5172,6679,12180,0102000L0AABHBH,0102
17607,22836,11300,0102000L0AABIBI,0102
2423,3117,100,0102000L0AABLBL,0102
18,27,185850,0102000L0AABNBN,0102
18654,24151,60,0102000L0AABPBP,0102
10589,13718,250,0102000L0AABQBQ,0102
19601,25363,200,0102000L0BBABAA,0102
18802,24346,500,0102000L0BBACAC,0102
9947,12900,83844,0102000N0AAAAAA,0102
13956,18083,7456020,0102000N0AAABAB,0102
20492,26505,100,0102000N0AAAFAF,0102
12146,15737,15190,0102000N0AAAPAP,0102
14408,18663,3620,0102000N0AAAQAQ,0102
88,115,1934114,0102000N0BBAAAB,0102
1629,2092,8270,0102000N0BBABAA,0102
19498,25229,16001,0102000N0BBACAB,0102
21698,28042,17064,0102000N0BBADAB,0102
1872,2398,317619,0102000P0AAAAAA,0102
940,1195,10127331,0102000P0AAABAB,0102
6283,8143,1482752,0102000P0AAADAD,0102
330,414,84,0102000P0AAAEAE,0102
18523,23987,1132040,0102000P0BCABAB,0102
3162,4089,8471,0102000P0BCACAB,0102
4489,5810,247190,0102000P0BCAEAD,0102
2917,3757,2270107,0102000T0AAAAAA,0102
5698,7377,700,0102000T0AAABAB,0102
14301,18533,860411,0102000T0AAAFAF,0102
2400,3091,592990,0102000T0BBAAAF,0102
21792,28157,177768,0102000T0BCAAAA,0102
17574,22794,12120,0102000T0BIAAAA,0102
7204,9346,2010,0102000T0BJAAAA,0102
10430,13511,193442,0102000X0AAAAAA,0102
14998,19434,205520,0102000X0BCAAAA,0102
9577,12434,407863,0102000Y0AAAFAF,0102
13892,17999,59914,0102000Y0BBAAAF,0102
3237,4179,32,010300000AAAAAA,0103
2819,3634,17,010300000AAABAB,0103
15648,20275,110,010300000AAADAD,0103
4285,5526,1,010300000AAAEAE,0103
18137,23497,299,010300000BBAAAA,0103
14934,19348,158,010300000BBABAB,0103
12211,15826,344,010300000BBADAD,0103
14482,18764,10512,0103010D0AAAAAA,0103
16130,20937,151136,0103010D0AAABAB,0103
2940,3787,2175,0103010D0AAACAC,0103
10469,13566,29120,0103010D0AAADAD,0103
1913,2454,24740,0103010D0AAALAL,0103
20893,27003,360,0103010D0BBAAAA,0103
21399,27632,1072,0103010D0BBABAB,0103
8823,11441,6000,0103010D0BBADAD,0103
5881,7616,22353,0103010H0AAAAAA,0103
8489,11012,16458,0103010H0AAABAB,0103
287,361,111060,0103010N0AAAAAA,0103
13415,17371,14396,0103010N0AAABAB,0103
10426,13507,16762382,0103010T0AAAAAA,0103
21074,27233,3008626,0103010T0AAACAC,0103
10868,14088,2219,0103010T0AAADAD,0103
12432,16108,4816696,0103010T0AAAEAE,0103
558,710,97395,0103010T0AAAIAI,0103
7810,10120,23085,0103010T0AAAJAJ,0103
9950,12903,54471,0103010T0AAAPAP,0103
14381,18630,300,0103010T0AAAYAY,0103
21013,27154,3510,0103010T0AABABA,0103
352,443,51935,0103010T0AABQBQ,0103
21457,27714,46930,0103010T0AABRBR,0103
2069,2652,128462,0103010T0BBAAAA,0103
3659,4728,34855,0103010T0BBACAC,0103
4728,6108,30850,0103010T0BBAEAE,0103
10496,13600,16828,0103010T0BBAHAP,0103
16940,21988,2376,0103010T0BBAIAP,0103
14901,19306,822,0103010T0BJAAAA,0103
19539,25284,224,0103010T0BNABAP,0103
8016,10394,136,0103010T0BUAAAP,0103
1129,1451,28,0103010T0BWAAAP,0103
7792,10095,3468,0103020P0AAAAAA,0103
923,1176,60087,0103030S0AAAAAA,0103
11238,14578,68371,0103030S0AAABAB,0103
10310,13363,664,0103030S0BBAAAA,0103
4764,6165,250,0103030S0BBABAB,0103
15268,19790,112,0103030S0BCAAAA,0103
16972,22032,1344,0103030W0AAAAAA,0103
21435,27681,432,0103030W0BBAAAA,0103
11547,14975,37398,0103040M0AAAAAA,0103
15045,19497,1652,0103040M0BBAAAA,0103
3679,4752,1951638,0103050E0AAAAAA,0103
1855,2378,1820230,0103050E0AAABAB,0103
10776,13961,28,0103050E0AAACAC,0103
14331,18567,406,0103050E0AAADAD,0103
20810,26900,23652,0103050E0AAAEAE,0103
18216,23597,760451,0103050E0AAAFAF,0103
20605,26641,712213,0103050E0AAAGAG,0103
10900,14126,170459,0103050E0BBAAAA,0103
4790,6197,110103,0103050E0BBABAB,0103
6092,7898,3584,0103050E0BBADAE,0103
4858,6288,504,0103050E0BBAGAA,0103
13559,17557,92939,0103050E0BCAAAF,0103
13485,17468,92428,0103050E0BCABAG,0103
8662,11243,39200660,0103050L0AAAAAA,0103
9744,12648,23802145,0103050L0AAABAB,0103
20860,26964,775731,0103050L0AAAGAG,0103
1961,2515,1652551,0103050L0AAAHAH,0103
4146,5332,600,0103050L0AAAIAI,0103
16003,20753,3555,0103050L0AAAJAJ,0103
18286,23683,4870,0103050L0AAAMAM,0103
12074,15648,140,0103050L0AAANAN,0103
15050,19506,200,0103050L0AAAQAQ,0103
8234,10687,50,0103050L0AAAWAW,0103
19353,25042,19710,0103050L0AAAXAX,0103
5470,7061,23570,0103050L0AAAYAY,0103
17703,22959,18216,0103050L0AAAZAZ,0103
20367,26353,116210,0103050L0BBADAG,0103
11596,15037,214970,0103050L0BBAEAH,0103
10273,13320,86210712,0103050P0AAAAAA,0103
17576,22797,2367612,0103050P0AAAEAE,0103
17035,22109,6226397,0103050P0AAAFAF,0103
7912,10255,3862,0103050P0AAAJAJ,0103
17286,22439,5250,0103050P0AAAKAK,0103
7940,10291,400,0103050P0AAALAL,0103
11076,14355,205281,0103050P0AAAMAM,0103
9814,12739,593892,0103050P0AAANAN,0103
10764,13944,63965,0103050P0AAAPAP,0103
17892,23188,2870,0103050P0AAAQAQ,0103
16970,22030,120,0103050P0AAARAR,0103
6803,8818,370,0103050P0AAASAS,0103
14416,18678,15,0103050P0AAAVAV,0103
2025,2595,72888,0103050P0AABCBC,0103
19579,25332,659317,0103050P0AABDBD,0103
16992,22056,81422,0103050P0AABEBE,0103
14615,18923,56,0103050P0AABGBG,0103
18051,23394,570,0103050P0AABHBH,0103
6645,8615,370710,0103050P0AABLBL,0103
15514,20105,195345,0103050P0AABMBM,0103
16818,21823,92819,0103050P0AABNBN,0103
21493,27760,10960,0103050P0AABPBP,0103
9820,12746,219744,0103050P0BBAAAA,0103
11721,15196,13094,0103050P0BBABAE,0103
20722,26789,27535,0103050P0BBACAF,0103
10084,13073,48838,0103050P0BBADAM,0103
20633,26675,73999,0103050P0BBAEAN,0103
6205,8051,6995,0103050P0BBAFAP,0103
9509,12348,60540,0103050P0BFAAAF,0103
