,stripped_bnf_code,quantity
0,0101,184679552
1,0102,32098268
2,0103,200383024
3,0104,12123098
4,0105,25415107
5,0106,223052416
6,0107,3405332
7,0108,37334
8,0109,12480718
9,0201,6742658
10,0202,92635418
11,0203,4241705
12,0204,113170876
13,0205,215084405
14,0206,143868679
15,0207,349787
16,0208,62288263
17,0209,90370444
18,0211,2203038
19,0212,192910224
20,0213,10
21,0301,24301535
22,0302,2258507
23,0303,6642028
24,0304,49277390
25,0307,27668095
26,0308,120820
27,0309,16971304
28,0310,1230971
29,0401,36585779
30,0402,34551026
31,0403,204470268
32,0404,4518654
33,0405,2929577
34,0406,34393300
35,0407,608281894
36,0408,179547390
37,0409,27252279
38,0410,93003557
39,0411,6898962
40,0501,132832390
41,0502,4979688
42,0503,3790331
43,0504,8088921
44,0505,282795
45,0601,281817220
46,0602,98796277
47,0603,38659691
48,0604,25283484
49,0605,1139052
50,0606,3133692
51,0607,188742
52,0701,56
53,0702,4629314
54,0703,64357451
55,0704,45622741
56,0801,678331
57,0802,7891161
58,0803,6838154
59,0901,65257230
60,0902,7304123
61,0904,2026357276
62,0905,6623383
63,0906,120488807
64,0907,800
65,0908,231517
66,0909,50922286
67,0910,1331170
68,0911,398613
69,0912,284054
70,1001,95153842
71,1002,20034183
72,1003,66881897
73,1103,1460910
74,1104,1992200
75,1105,86419
76,1106,7605123
77,1107,893
78,1108,9978418
79,1201,514975
80,1202,2881272
81,1203,17098170
82,1301,5069751
83,1302,519395223
84,1303,5267300
85,1304,53461332
86,1305,11330742
87,1306,7466832
88,1307,233986
89,1308,1739866
90,1309,26622809
91,1310,9962454
92,1311,8653161
93,1312,305370
94,1313,18205
95,1314,575911
96,1315,21512
97,1404,638065
98,1405,26
99,1501,253540
100,1502,1869070
101,1803,2200
