,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3090,3972,23139,0101010C0AAAAAA,010101
108,146,34650,0101010C0BBAAAA,010101
17070,21603,3287,0101010F0AAAUAU,010101
1581,2032,1537980,0101010G0AAABAB,010101
4876,6207,1264802,0101010G0BBABAB,010101
3209,4130,1475189,0101010G0BCABAB,010101
2056,2633,4594,0101010I0AAABAB,010101
6807,8608,19329,0101010I0AAACAC,010101
10867,13746,1176,0101010I0AAAEAE,010101
10942,13834,176,0101010I0AAAHAH,010101
19047,24068,336,0101010I0AAAJAJ,010101
17622,22293,120,0101010I0AAALAL,010101
18573,23487,180,0101010I0AAATAT,010101
18675,23610,900,0101010I0AAAYAY,010101
6328,8018,2083,0101010I0AABIBI,010101
15664,19825,100,0101010I0AABPBP,010101
9544,12105,10636,0101010I0BEAAAC,010101
665,859,600,0101010I0BFABAB,010101
8480,10759,282395,0101010J0AAAAAA,010101
8956,11342,22601,0101010J0AAAHAH,010101
4872,6203,7320,0101010L0AAAIAI,010101
8645,10956,500,0101010L0BBABAA,010101
3198,4118,583145,0101010L0BEAAAI,010101
21978,27762,150,0101010N0AAAAAA,010101
10636,13454,77180,0101010N0AAABAB,010101
5261,6671,400,0101010N0BBAAAA,010101
4799,6112,41830,0101010P0AAAAAA,010101
13720,17341,116570,0101010P0BBAAAA,010101
19601,24767,122635,0101010Q0AAAAAA,010101
18706,23645,46260,0101010Q0BDACAA,010101
18949,23949,16486,0101010R0AAAAAA,010101
9937,12593,55250,0101010R0AAABAB,010101
10875,13754,4550,0101010R0AAADAD,010101
11980,15151,23795,0101010R0AAAEAE,010101
18048,22817,15785,0101010R0AAAHAH,010101
262,342,142800,0101010R0BCAAAB,010101
9821,12442,21611,0101010R0BEAAAD,010101
20432,25849,6941,0101010R0BFAAAE,010101
14328,18112,2103,0101010R0BFABAH,010101
6694,8472,1344,0101010R0BHAAAA,010101
13216,16689,150,0101010T0BBAAA0,010101
10888,13768,420,0101010U0AAAAAA,010101
1596,2054,900,0101010U0BBAAAA,010101
6165,7813,750,0101012A0AAAAAA,010101
9756,12360,3000,0101012A0BBAAAA,010101
16871,21353,150,0101012A0BDABA0,010101
11194,14153,276247,0101012B0AAABAB,010101
16014,20265,600,0101012B0AAALAL,010101
11436,14466,41150,0101012B0AAAPAP,010101
396,514,16650,0101012B0AAAUAU,010101
4458,5692,400,0101012B0AAAZAZ,010101
8052,10207,1500,0101012B0AABABA,010101
9251,11730,725,0101012B0AABVBV,010101
15608,19761,3610,0101012B0AABWBW,010101
12823,16200,87130,0101012B0BCAAAB,010101
21793,27521,290,0101012B0BEAABV,010101
850,1098,22300,0101012B0BIAAAB,010101
5965,7567,414,010102100AAABAB,010102
