,stripped_bnf_code,quantity
0,010101,6426900
1,010102,174377844
2,010200,32916964
3,010300,853
4,010301,24652640
5,010302,3399
6,010303,120171
7,010304,40329
8,010305,173634945
9,010401,2600
10,010402,12285127
11,010403,729
12,010501,25705744
13,010502,365023
14,010504,157980
15,010601,8238149
16,010602,46003754
17,010603,76286
18,010604,172630407
19,010605,12635
20,010606,5793
21,010607,303350
22,010701,656534
23,010702,2456766
24,010703,10
25,010704,178790
26,010801,42700
27,010901,2465009
28,010904,10139804
29,020101,7143959
30,020201,49305669
31,020202,39596753
32,020203,7605836
33,020204,2048934
34,020208,720
35,020302,4393814
36,020400,114673986
37,020501,853466
38,020502,2438685
39,020504,25657107
40,020505,191382879
41,020601,14902491
42,020602,118264012
43,020603,11082214
44,020604,1325581
45,020702,306434
46,020703,67
47,020801,637227
48,020802,61196991
49,020900,93937282
50,021100,2340187
51,021200,194152664
52,030101,6500389
53,030102,13248919
54,030103,3941266
55,030104,257165
56,030200,2233784
57,030301,1466
58,030302,6638323
59,030303,4917
60,030401,80361441
61,030402,8132
62,030403,63769
63,030700,25928256
64,030800,63140
65,030901,5812937
66,030902,4111374
67,031000,738645
68,040101,19370992
69,040102,17455212
70,040103,21169
71,040201,29283864
72,040202,35635
73,040203,5323253
74,040301,67978181
75,040302,254668
76,040303,101759271
77,040304,32380529
78,040400,4421326
79,040501,3586370
80,040502,30
81,040600,35781101
82,040701,421329720
83,040702,185988854
84,040703,500
85,040704,8853329
86,040801,178484804
87,040802,51495
88,040901,22837390
89,040902,4110906
90,040903,444969
91,041001,1219590
92,041002,2816018
93,041003,88342998
94,041100,6735384
95,050101,68713357
96,050102,2941934
97,050103,12122727
98,050104,27539
99,050105,13317291
100,050106,392290
101,050107,362624
102,050108,7523959
103,050109,267376
104,050110,93625
105,050111,1210295
106,050112,1223739
107,050113,5131605
108,050201,979050
109,050202,624
110,050203,2123356
111,050204,1
112,050205,1890985
113,050301,19226
114,050302,3703370
115,050303,3908
116,050304,667
117,050305,938
118,050401,8605002
119,050404,7650
120,050405,256
121,050408,7008
122,050501,276494
123,050502,2074
124,050503,330
125,050505,66
126,050506,215
127,060101,4479452
128,060102,223535019
129,060104,2150988
130,060106,58431343
131,060201,98375588
132,060202,2589472
133,060301,1273053
134,060302,32427270
135,060401,18319000
136,060402,9846885
137,060403,2201
138,060501,50758
139,060502,1152372
140,060601,208
141,060602,3304224
142,060701,155938
143,060702,27851
144,060703,12973
145,070101,113
146,070201,3654677
147,070202,962973
148,070301,34631374
149,070302,28938303
150,070303,21030
151,070305,13930
152,070401,19967742
153,070402,22374210
154,070403,834325
155,070404,1630
156,070405,2446900
157,070406,2796
158,080100,10438
159,080101,3101
160,080103,237757
161,080105,441993
162,080201,6562040
163,080202,1782133
164,080204,242
165,080301,38569
166,080302,76593
167,080304,6775548
168,090101,47293351
169,090102,18820273
170,090103,13532
171,090104,11162
172,090106,130
173,090201,6489172
174,090202,1345876
175,090300,43
176,090401,445638262
177,090402,1626889684
178,090501,3271459
179,090502,1522188
180,090503,1693227
181,090504,226733
182,090505,3837
183,090601,416260
184,090602,18540211
185,090603,526891
186,090604,96699940
187,090605,368274
188,090606,76502
189,090607,3933499
190,090608,180
191,090700,1200
192,090801,258267
193,090900,51596553
194,091000,1431650
195,091101,139274
196,091102,128667
197,091103,1278
198,091104,121427
199,091200,336104
200,100101,70341562
201,100102,83917
202,100103,9549720
203,100104,20272592
204,100105,19973
205,100201,1108674
206,100202,18996826
207,100301,134
208,100302,69674413
209,110301,1269206
210,110302,10
211,110303,11053
212,110401,995308
213,110402,2503977
214,110500,92179
215,110600,7361009
216,110700,1709
217,110801,11248008
218,110802,91616
219,110803,12790
220,120101,627003
221,120102,3460
222,120103,90062
223,120201,1400705
224,120202,919255
225,120203,543429
226,120301,7466413
227,120302,595765
228,120303,21704
229,120304,10091024
230,120305,744398
231,130101,5303847
232,130201,536283239
233,130202,16607014
234,130203,14450
235,130300,5888923
236,130400,53594200
237,130501,250642
238,130502,10440135
239,130503,682820
240,130601,6063033
241,130602,1190353
242,130603,29910
243,130700,300370
244,130801,4142691
245,130802,170274
246,130900,27164003
247,131001,3742712
248,131002,5034199
249,131003,91682
250,131004,1720651
251,131005,133708
252,131101,145530
253,131102,7811547
254,131103,573962
255,131104,182039
256,131105,159420
257,131106,67207
258,131107,87
259,131200,433190
260,131301,19589
261,131400,667653
262,131500,21008
263,140400,318904
264,140501,90
265,140502,2
266,140503,6
267,150101,282
268,150102,66
269,150103,92198
270,150104,140633
271,150201,1787683
272,180300,3400
