,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3102,3972,26182,0101010C0AAAAAA,010101
109,146,38239,0101010C0BBAAAA,010101
16951,21603,3454,0101010F0AAAUAU,010101
2795,3580,90,0101010F0BCAAAU,010101
1572,2032,1582896,0101010G0AAABAB,010101
4863,6207,1305062,0101010G0BBABAB,010101
3222,4130,1548629,0101010G0BCABAB,010101
2061,2633,6618,0101010I0AAABAB,010101
6749,8608,17877,0101010I0AAACAC,010101
10804,13746,570,0101010I0AAAEAE,010101
10877,13834,86,0101010I0AAAHAH,010101
17499,22293,240,0101010I0AAALAL,010101
759,975,56,0101010I0AAAUAU,010101
9593,12218,492,0101010I0AAAXAX,010101
18543,23610,290,0101010I0AAAYAY,010101
6282,8018,1674,0101010I0AABIBI,010101
15595,19825,200,0101010I0AABPBP,010101
9496,12105,11144,0101010I0BEAAAC,010101
670,859,480,0101010I0BFABAB,010101
8435,10759,368602,0101010J0AAAAAA,010101
8909,11342,23931,0101010J0AAAHAH,010101
4859,6203,3000,0101010L0AAAIAI,010101
8594,10956,2000,0101010L0BBABAA,010101
3211,4118,581690,0101010L0BEAAAI,010101
10583,13454,81800,0101010N0AAABAB,010101
4787,6112,49780,0101010P0AAAAAA,010101
13645,17341,110880,0101010P0BBAAAA,010101
19464,24767,104300,0101010Q0AAAAAA,010101
18573,23645,42170,0101010Q0BDACAA,010101
18803,23949,13284,0101010R0AAAAAA,010101
9889,12593,55050,0101010R0AAABAB,010101
10811,13754,6080,0101010R0AAADAD,010101
11917,15151,17414,0101010R0AAAEAE,010101
17916,22817,15076,0101010R0AAAHAH,010101
261,342,150500,0101010R0BCAAAB,010101
9775,12442,23230,0101010R0BEAAAD,010101
20320,25849,5968,0101010R0BFAAAE,010101
14255,18112,2231,0101010R0BFABAH,010101
6636,8472,1760,0101010R0BHAAAA,010101
10822,13768,1920,0101010U0AAAAAA,010101
1589,2054,2910,0101010U0BBAAAA,010101
6128,7813,300,0101012A0AAAAAA,010101
9707,12360,3300,0101012A0BBAAAA,010101
16757,21353,145,0101012A0BDABA0,010101
11136,14153,280952,0101012B0AAABAB,010101
15930,20265,100,0101012B0AAALAL,010101
11377,14466,37251,0101012B0AAAPAP,010101
8925,11362,30,0101012B0AAATAT,010101
398,514,27900,0101012B0AAAUAU,010101
10933,13908,1000,0101012B0AAAWAW,010101
12590,15995,5800,0101012B0AABMBM,010101
14478,18393,1645,0101012B0AABSBS,010101
9203,11730,290,0101012B0AABVBV,010101
15538,19761,7640,0101012B0AABWBW,010101
12760,16200,102010,0101012B0BCAAAB,010101
6752,8612,100,0101012B0BFAABW,010101
855,1098,24800,0101012B0BIAAAB,010101
5931,7567,324,010102100AAABAB,010102
17817,22696,424,010102100AAAFAF,010102
12352,15690,24220,010102100AAAGAG,010102
17788,22659,468,010102100AAAHAH,010102
7186,9167,3196,010102100AAAIAI,010102
16763,21359,6870,010102100BBABAB,010102
15390,19569,288,010102100BBAMA0,010102
18396,23431,4942,010102100BBAQAF,010102
14803,18803,1520,010102100BBARAF,010102
14953,18985,480,010102100BBAWAG,010102
18587,23665,736,010102100BBAZA0,010102
9847,12539,120,010102100BBBAAH,010102
5110,6517,684,010102100BBBCAF,010102
10194,12960,1272,010102100BBBDAI,010102
11461,14575,4893593,0101021B0AAAHAH,010102
888,1141,8272,0101021B0AAAJAJ,010102
523,677,23029700,0101021B0AAALAL,010102
4619,5900,24,0101021B0AAAMAM,010102
6646,8486,476993,0101021B0AAAPAP,010102
8525,10872,2928,0101021B0BCAAAC,010102
13151,16710,5000,0101021B0BCABAI,010102
14924,18946,2180,0101021B0BEABAG,010102
18387,23419,4093555,0101021B0BEACAH,010102
