,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3145,3972,21539,0101010C0AAAAAA,0101
110,146,33102,0101010C0BBAAAA,0101
17039,21603,2660,0101010F0AAAUAU,0101
1610,2032,1562730,0101010G0AAABAB,0101
4919,6207,1328179,0101010G0BBABAB,0101
3262,4130,1695139,0101010G0BCABAB,0101
2091,2633,6666,0101010I0AAABAB,0101
6833,8608,14188,0101010I0AAACAC,0101
10894,13746,1400,0101010I0AAAEAE,0101
10970,13834,86,0101010I0AAAHAH,0101
17585,22293,81,0101010I0AAALAL,0101
9678,12218,100,0101010I0AAAXAX,0101
18610,23610,1180,0101010I0AAAYAY,0101
6356,8018,2417,0101010I0AABIBI,0101
15653,19825,100,0101010I0AABPBP,0101
9579,12105,12903,0101010I0BEAAAC,0101
7009,8834,56,0101010I0BFAAAE,0101
682,859,360,0101010I0BFABAB,0101
7772,9807,180,0101010I0BFADAC,0101
16958,21500,60,0101010I0BFAEAY,0101
8525,10759,101850,0101010J0AAAAAA,0101
8989,11342,23797,0101010J0AAAHAH,0101
8687,10956,1000,0101010L0BBABAA,0101
3251,4118,545075,0101010L0BEAAAI,0101
10661,13454,88670,0101010N0AAABAB,0101
4848,6112,33970,0101010P0AAAAAA,0101
13730,17341,87580,0101010P0BBAAAA,0101
19517,24767,105815,0101010Q0AAAAAA,0101
18713,23730,9500,0101010Q0AAAGAG,0101
18640,23645,31160,0101010Q0BDACAA,0101
18886,23949,18687,0101010R0AAAAAA,0101
9977,12593,44050,0101010R0AAABAB,0101
10901,13754,4000,0101010R0AAADAD,0101
11994,15151,21660,0101010R0AAAEAE,0101
17996,22817,21210,0101010R0AAAHAH,0101
266,342,123550,0101010R0BCAAAB,0101
9854,12442,22200,0101010R0BEAAAD,0101
20350,25849,9153,0101010R0BFAAAE,0101
14324,18112,3812,0101010R0BFABAH,0101
6726,8472,1509,0101010R0BHAAAA,0101
10912,13768,2820,0101010U0AAAAAA,0101
1624,2054,4800,0101010U0BBAAAA,0101
6200,7813,300,0101012A0AAAAAA,0101
9792,12360,900,0101012A0BBAAAA,0101
11216,14153,241256,0101012B0AAABAB,0101
11453,14466,43800,0101012B0AAAPAP,0101
9007,11362,30,0101012B0AAATAT,0101
405,514,10500,0101012B0AAAUAU,0101
12089,15255,600,0101012B0AAAVAV,0101
12669,15995,2400,0101012B0AABMBM,0101
14548,18393,2185,0101012B0AABSBS,0101
9274,11730,245,0101012B0AABVBV,0101
15597,19761,19390,0101012B0AABWBW,0101
12844,16200,110080,0101012B0BCAAAB,0101
6835,8612,30,0101012B0BFAABW,0101
5723,7203,1100,0101012B0BGAAAB,0101
869,1098,9000,0101012B0BIAAAB,0101
6002,7567,108,010102100AAABAB,0101
17897,22696,402,010102100AAAFAF,0101
12427,15690,27120,010102100AAAGAG,0101
7272,9167,7704,010102100AAAIAI,0101
16845,21359,7304,010102100BBABAB,0101
18470,23431,3996,010102100BBAQAF,0101
14860,18803,1836,010102100BBARAF,0101
