,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3088,3972,21673,0101010C0AAAAAA,010101
104,146,35838,0101010C0BBAAAA,010101
16876,21603,3096,0101010F0AAAUAU,010101
2788,3580,90,0101010F0BCAAAU,010101
1573,2032,1544432,0101010G0AAABAB,010101
4831,6207,1301053,0101010G0BBABAB,010101
3204,4130,1413809,0101010G0BCABAB,010101
2042,2633,4586,0101010I0AAABAB,010101
6725,8608,19231,0101010I0AAACAC,010101
10748,13746,1030,0101010I0AAAEAE,010101
10820,13834,1,0101010I0AAAHAH,010101
17418,22293,21,0101010I0AAALAL,010101
18368,23487,540,0101010I0AAATAT,010101
9527,12218,492,0101010I0AAAXAX,010101
18466,23610,946,0101010I0AAAYAY,010101
6253,8018,1619,0101010I0AABIBI,010101
15506,19825,200,0101010I0AABPBP,010101
14967,19122,180,0101010I0BDABAB,010101
9433,12105,11250,0101010I0BEAAAC,010101
660,859,300,0101010I0BFABAB,010101
8398,10759,383764,0101010J0AAAAAA,010101
8869,11342,23546,0101010J0AAAHAH,010101
4828,6203,5500,0101010L0AAAIAI,010101
8556,10956,500,0101010L0BBABAA,010101
3193,4118,584616,0101010L0BEAAAI,010101
8115,10383,100,0101010L0BEACA0,010101
21760,27762,300,0101010N0AAAAAA,010101
10509,13454,79900,0101010N0AAABAB,010101
4753,6112,38300,0101010P0AAAAAA,010101
13545,17341,113110,0101010P0BBAAAA,010101
19392,24767,92065,0101010Q0AAAAAA,010101
18495,23645,41380,0101010Q0BDACAA,010101
18728,23949,14405,0101010R0AAAAAA,010101
9819,12593,53400,0101010R0AAABAB,010101
10756,13754,3925,0101010R0AAADAD,010101
11838,15151,21583,0101010R0AAAEAE,010101
17837,22817,16143,0101010R0AAAHAH,010101
255,342,139950,0101010R0BCAAAB,010101
9705,12442,22800,0101010R0BEAAAD,010101
20228,25849,6792,0101010R0BFAAAE,010101
14155,18112,2970,0101010R0BFABAH,010101
6617,8472,1408,0101010R0BHAAAA,010101
1590,2054,3960,0101010U0BBAAAA,010101
6098,7813,300,0101012A0AAAAAA,010101
9637,12360,2700,0101012A0BBAAAA,010101
16675,21353,300,0101012A0BDABA0,010101
11064,14153,226758,0101012B0AAABAB,010101
15851,20265,300,0101012B0AAALAL,010101
11303,14466,49500,0101012B0AAAPAP,010101
8885,11362,30,0101012B0AAATAT,010101
389,514,11200,0101012B0AAAUAU,010101
4425,5692,200,0101012B0AAAZAZ,010101
7979,10207,280,0101012B0AABABA,010101
12509,15995,3200,0101012B0AABMBM,010101
14380,18393,1200,0101012B0AABSBS,010101
9153,11730,915,0101012B0AABVBV,010101
15453,19761,3800,0101012B0AABWBW,010101
12669,16200,84010,0101012B0BCAAAB,010101
21571,27521,145,0101012B0BEAABV,010101
846,1098,19800,0101012B0BIAAAB,010101
5898,7567,108,010102100AAABAB,010102
17733,22696,252,010102100AAAFAF,010102
12262,15690,20280,010102100AAAGAG,010102
17705,22659,302,010102100AAAHAH,010102
7165,9167,2418,010102100AAAIAI,010102
16681,21359,6418,010102100BBABAB,010102
15300,19569,56,010102100BBAMA0,010102
18321,23431,3738,010102100BBAQAF,010102
14706,18803,1946,010102100BBARAF,010102
664,863,75,010102100BBAUA0,010102
14863,18985,480,010102100BBAWAG,010102
18508,23665,454,010102100BBAZA0,010102
9780,12539,192,010102100BBBAAH,010102
5069,6517,864,010102100BBBCAF,010102
10118,12960,1127,010102100BBBDAI,010102
11388,14575,4679729,0101021B0AAAHAH,010102
882,1141,7730,0101021B0AAAJAJ,010102
517,677,22163468,0101021B0AAALAL,010102
6626,8486,445760,0101021B0AAAPAP,010102
8488,10872,2850,0101021B0BCAAAC,010102
13067,16710,7500,0101021B0BCABAI,010102
14832,18946,2100,0101021B0BEABAG,010102
18312,23419,3912706,0101021B0BEACAH,010102
17732,22695,1516878,0101021B0BEADAJ,010102
6700,8577,2573112,0101021B0BEAFAH,010102
20535,26245,160,0101021B0BEAHAG,010102
8006,10242,51480260,0101021B0BEAIAL,010102
19,28,19883,0101021B0BEAJAM,010102
2833,3641,72,0101021B0BEALA0,010102
9128,11693,24,0101021B0BEAMA0,010102
2649,3397,668555,0101021B0BEANAH,010102
20688,26443,8934,0101021B0BEAPA0,010102
8875,11349,1738957,0101021B0BEAQAP,010102
19743,25221,178888,0101021B0BEARA0,010102
986,1267,1217890,0101021B0BEASA0,010102
8482,10865,93338,0101021B0BEAUA0,010102
14357,18366,11700,0101021B0BEAVA0,010102
