,stripped_bnf_code,quantity
0,010101,6415442
1,010102,174111984
2,010200,32105264
3,010300,801
4,010301,24088756
5,010302,3550
6,010303,130049
7,010304,42193
8,010305,170206790
9,010401,6800
10,010402,11928873
11,010403,602
12,010501,25191004
13,010502,356698
14,010504,156804
15,010601,8245626
16,010602,44587604
17,010603,65218
18,010604,171313481
19,010605,12746
20,010606,4674
21,010607,289568
22,010701,681131
23,010702,2480345
24,010703,32
25,010704,192490
26,010801,47540
27,010901,2449519
28,010904,9899630
29,020101,7061215
30,020102,20
31,020201,49043258
32,020202,38435354
33,020203,7391193
34,020204,2038381
35,020208,302
36,020302,4333017
37,020400,112456780
38,020501,825070
39,020502,2421491
40,020504,25431545
41,020505,188258872
42,020601,14621179
43,020602,116838552
44,020603,10982344
45,020604,1306344
46,020702,281296
47,020703,49
48,020801,626582
49,020802,59597694
50,020900,93036652
51,021100,2270644
52,021200,190992609
53,021300,1
54,030101,6314659
55,030102,13200293
56,030103,3906109
57,030104,229261
58,030200,2176287
59,030301,1993
60,030302,6420145
61,030303,5586
62,030401,79762942
63,030402,9172
64,030403,63165
65,030700,25468095
66,030800,74920
67,030901,6687157
68,030902,5092346
69,031000,928587
70,040101,19128357
71,040102,17194577
72,040103,21088
73,040201,28616647
74,040202,36299
75,040203,5267198
76,040301,67142048
77,040302,258081
78,040303,99111503
79,040304,31464271
80,040400,4417084
81,040501,3518728
82,040600,35295496
83,040701,420988003
84,040702,182098032
85,040703,145
86,040704,8583858
87,040801,173017482
88,040802,37711
89,040901,22241336
90,040902,3997725
91,040903,430415
92,041001,1228934
93,041002,3063675
94,041003,89617540
95,041100,6501499
96,050101,73281859
97,050102,2938437
98,050103,12438757
99,050104,30882
100,050105,14111859
101,050106,360573
102,050107,353473
103,050108,7499713
104,050109,267091
105,050110,88481
106,050111,1182444
107,050112,1187671
108,050113,4902728
109,050201,929881
110,050202,569
111,050203,2036187
112,050204,2
113,050205,1790715
114,050301,21802
115,050302,3588545
116,050303,3804
117,050304,3978
118,050305,462
119,050401,8372085
120,050402,15
121,050404,7674
122,050405,42
123,050408,6333
124,050501,271912
125,050502,1574
126,050503,160
127,050505,54
128,050506,156
129,060101,4359670
130,060102,219022389
131,060104,2012991
132,060106,56269472
133,060201,95840571
134,060202,2465202
135,060301,1232003
136,060302,32314755
137,060401,16547995
138,060402,9676102
139,060403,2140
140,060501,47748
141,060502,1075618
142,060601,296
143,060602,3285968
144,060701,147672
145,060702,25902
146,060703,16339
147,070201,3577284
148,070202,924073
149,070301,34351991
150,070302,27307809
151,070303,18411
152,070305,14355
153,070401,19635146
154,070402,22017694
155,070403,806595
156,070404,1286
157,070405,2329383
158,070406,2704
159,080100,9682
160,080101,3463
161,080102,1
162,080103,231306
163,080105,435111
164,080201,6443812
165,080202,1790520
166,080203,1
167,080204,284
168,080301,41916
169,080302,77928
170,080304,6594347
171,090101,46281344
172,090102,17779126
173,090103,13634
174,090104,11546
175,090106,257
176,090201,6179324
177,090202,1329309
178,090300,41
179,090401,454281392
180,090402,1531554744
181,090501,3226833
182,090502,1476558
183,090503,1649006
184,090504,218772
185,090505,3950
186,090601,399104
187,090602,18186656
188,090603,538096
189,090604,95127739
190,090605,362486
191,090606,77621
192,090607,3882991
193,090700,200
194,090801,242158
195,090900,54185120
196,091000,1393850
197,091101,121985
198,091102,128222
199,091103,1046
200,091104,119810
201,091200,340256
202,100101,71614907
203,100102,88819
204,100103,9274806
205,100104,19704978
206,100105,20096
207,100201,1092039
208,100202,18471427
209,100301,85
210,100302,69223689
211,110301,1438572
212,110302,30
213,110303,9679
214,110401,964250
215,110402,2637686
216,110500,90216
217,110600,7141484
218,110700,1137
219,110801,11064504
220,110802,92010
221,110803,12400
222,120101,536500
223,120102,2445
224,120103,87727
225,120201,1416060
226,120202,902668
227,120203,673653
228,120301,7397481
229,120302,560583
230,120303,27148
231,120304,9998000
232,120305,834919
233,130101,5615774
234,130201,560853603
235,130202,16405744
236,130203,18725
237,130300,6005261
238,130400,55307475
239,130501,262470
240,130502,10814726
241,130503,669540
242,130601,6237806
243,130602,1190197
244,130603,31950
245,130700,267130
246,130801,4205578
247,130802,167691
248,130900,27106722
249,131001,3620073
250,131002,4601117
251,131003,96577
252,131004,1672837
253,131005,131159
254,131101,146044
255,131102,7388731
256,131103,555043
257,131104,188718
258,131105,156567
259,131106,52511
260,131107,99
261,131200,420000
262,131301,18367
263,131400,648256
264,131500,16277
265,140400,241689
266,140501,16
267,140502,7
268,150101,269
269,150102,74
270,150103,88617
271,150104,144990
272,150107,2
273,150201,1785239
274,180300,2500
