,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3145,3972,16290,0101010C0AAAAAA,010101
111,146,26444,0101010C0BBAAAA,010101
17070,21603,2491,0101010F0AAAUAU,010101
1599,2032,1623002,0101010G0AAABAB,010101
4927,6207,1332620,0101010G0BBABAB,010101
3272,4130,1605931,0101010G0BCABAB,010101
2079,2633,7588,0101010I0AAABAB,010101
6848,8608,20086,0101010I0AAACAC,010101
10892,13746,1520,0101010I0AAAEAE,010101
10967,13834,56,0101010I0AAAHAH,010101
17618,22293,77,0101010I0AAALAL,010101
9669,12218,480,0101010I0AAAXAX,010101
18667,23610,1056,0101010I0AAAYAY,010101
6361,8018,2332,0101010I0AABIBI,010101
15687,19825,200,0101010I0AABPBP,010101
15142,19122,180,0101010I0BDABAB,010101
9574,12105,10910,0101010I0BEAAAC,010101
682,859,180,0101010I0BFABAB,010101
4005,5048,21,0101010I0BFACAL,010101
16986,21500,60,0101010I0BFAEAY,010101
8518,10759,157750,0101010J0AAAAAA,010101
8993,11342,22271,0101010J0AAAHAH,010101
8678,10956,500,0101010L0BBABAA,010101
3261,4118,563211,0101010L0BEAAAI,010101
10668,13454,88230,0101010N0AAABAB,010101
4855,6112,45000,0101010P0AAAAAA,010101
13731,17341,132040,0101010P0BBAAAA,010101
19596,24767,127930,0101010Q0AAAAAA,010101
18700,23645,57180,0101010Q0BDACAA,010101
18943,23949,16755,0101010R0AAAAAA,010101
9978,12593,51400,0101010R0AAABAB,010101
10899,13754,3850,0101010R0AAADAD,010101
12002,15151,22112,0101010R0AAAEAE,010101
18035,22817,22281,0101010R0AAAHAH,010101
266,342,135250,0101010R0BCAAAB,010101
9854,12442,23025,0101010R0BEAAAD,010101
20450,25849,8279,0101010R0BFAAAE,010101
14337,18112,3706,0101010R0BFABAH,010101
6732,8472,1693,0101010R0BHAAAA,010101
10911,13768,1800,0101010U0AAAAAA,010101
1617,2054,4500,0101010U0BBAAAA,010101
6209,7813,900,0101012A0AAAAAA,010101
9786,12360,900,0101012A0BBAAAA,010101
16866,21353,145,0101012A0BDABA0,010101
11215,14153,245864,0101012B0AAABAB,010101
16029,20265,900,0101012B0AAALAL,010101
11462,14466,54450,0101012B0AAAPAP,010101
405,514,19004,0101012B0AAAUAU,010101
12092,15255,400,0101012B0AAAVAV,010101
11024,13908,200,0101012B0AAAWAW,010101
12666,15995,5200,0101012B0AABMBM,010101
14571,18393,800,0101012B0AABSBS,010101
9285,11730,685,0101012B0AABVBV,010101
15630,19761,3690,0101012B0AABWBW,010101
12835,16200,108998,0101012B0BCAAAB,010101
865,1098,13200,0101012B0BIAAAB,010101
6003,7567,216,010102100AAABAB,010102
17936,22696,500,010102100AAAFAF,010102
12432,15690,40200,010102100AAAGAG,010102
17904,22659,102,010102100AAAHAH,010102
7280,9167,4379,010102100AAAIAI,010102
16872,21359,6186,010102100BBABAB,010102
15472,19569,28,010102100BBAMA0,010102
18523,23431,5024,010102100BBAQAF,010102
14885,18803,2036,010102100BBARAF,010102
15036,18985,300,010102100BBAWAG,010102
9055,11417,156,010102100BBAXA0,010102
18715,23665,756,010102100BBAZA0,010102
9935,12539,312,010102100BBBAAH,010102
5179,6517,1344,010102100BBBCAF,010102
10269,12960,1748,010102100BBBDAI,010102
11538,14575,4908832,0101021B0AAAHAH,010102
902,1141,8451,0101021B0AAAJAJ,010102
535,677,22671919,0101021B0AAALAL,010102
4683,5900,100,0101021B0AAAMAM,010102
6742,8486,441453,0101021B0AAAPAP,010102
8614,10872,1336,0101021B0BCAAAC,010102
13241,16710,3000,0101021B0BCABAI,010102
15005,18946,2180,0101021B0BEABAG,010102
18513,23419,3938167,0101021B0BEACAH,010102
17935,22695,1559593,0101021B0BEADAJ,010102
6822,8577,2454280,0101021B0BEAFAH,010102
8120,10242,52558010,0101021B0BEAIAL,010102
22,28,19364,0101021B0BEAJAM,010102
2888,3641,88,0101021B0BEALA0,010102
9258,11693,120,0101021B0BEAMA0,010102
2696,3397,653405,0101021B0BEANAH,010102
20927,26443,6124,0101021B0BEAPA0,010102
9000,11349,1770290,0101021B0BEAQAP,010102
19964,25221,183153,0101021B0BEARA0,010102
1005,1267,1354896,0101021B0BEASA0,010102
8609,10865,95818,0101021B0BEAUA0,010102
14547,18366,12200,0101021B0BEAVA0,010102
16733,21192,35249,0101021B0BEAWA0,010102
16052,20293,3089,0101021B0BEBDA0,010102
20969,26491,34112774,0101021B0BEBEAL,010102
15048,18998,25009384,0101021B0BIAAAH,010102
18649,23588,31032238,0101021B0BIABAH,010102
9682,12234,305140,0101021B0BQAAAH,010102
19303,24401,317100,0101021B0BQABAH,010102
2723,3432,19200,0101021B0BQACAL,010102
17620,22296,3000,0101021B0BQADAL,010102
7381,9296,6619,0101021C0AAAFAF,010102
11337,14296,30,0101021C0AAAPAP,010102
15047,18997,1660,0101021C0AAATAT,010102
11073,13970,252,0101021C0AABDBD,010102
15858,20042,28,0101021C0AABQBQ,010102
21908,27631,3282,0101021C0AABXBX,010102
3177,4015,4760,0101021C0AACECE,010102
12874,16247,6606,0101021C0AACICI,010102
13702,17307,1400,0101021C0AACWCW,010102
8348,10546,20380,0101021C0AACXCX,010102
5544,6963,6400,0101021C0AACYCY,010102
15700,19840,583,0101021C0BBAAAF,010102
6564,8272,56,0101021C0BFAABX,010102
2356,2977,956,0101021C0BIABAF,010102
7913,9969,60,0101021C0BJABAF,010102
18552,23463,28,0101021C0BKAACI,010102
360,459,1214001,0102000A0AAAAAA,010200
348,446,532912,0102000A0AAABAB,010200
688,867,133615,0102000A0BBAAAA,010200
17431,22065,37338,0102000A0BBABAB,010200
6137,7719,32936,0102000A0BDAAAA,010200
6972,8761,14797,0102000A0BDABAB,010200
5632,7084,2292,0102000ACAAAGAG,010200
19076,24111,100,0102000ACAAAPAP,010200
7878,9926,100,0102000ACAAASAS,010200
14079,17784,50,0102000ACAAAZAZ,010200
20632,26062,2525,0102000ACAABBBB,010200
12165,15349,1310,0102000D0BCAAAF,010200
4335,5460,115837,0102000J0AAAAAA,010200
7333,9232,297082,0102000J0AAABAB,010200
9579,12112,158668,0102000J0AAACAC,010200
9421,11909,644,0102000J0BBAAAB,010200
2516,3176,240,0102000J0BBABAA,010200
18087,22886,6000,0102000K0AAAAAA,010200
13548,17094,1480130,0102000K0BBAAAA,010200
8939,11276,56946,0102000L0AAAAAA,010200
17650,22337,104941,0102000L0AAACAC,010200
21802,27497,80121,0102000L0AAADAD,010200
11002,13879,1050,0102000L0AAAGAG,010200
13541,17083,500,0102000L0AAAHAH,010200
4879,6147,420,0102000L0AAANAN,010200
7732,9746,410,0102000L0AAAVAV,010200
19607,24779,16050,0102000L0AAAZAZ,010200
19536,24696,33550,0102000L0AABABA,010200
6412,8079,2000,0102000L0AABBBB,010200
21828,27537,8122,0102000L0AABCBC,010200
7175,9032,17300,0102000L0AABDBD,010200
10290,12984,10750,0102000L0AABEBE,010200
3081,3887,20060,0102000L0AABFBF,010200
16577,20997,15751,0102000L0AABGBG,010200
5311,6679,14350,0102000L0AABHBH,010200
18050,22836,12500,0102000L0AABIBI,010200
7102,8940,200,0102000L0AABKBK,010200
2466,3117,1260,0102000L0AABLBL,010200
21,27,115050,0102000L0AABNBN,010200
19259,24346,200,0102000L0BBACAC,010200
10220,12900,79798,0102000N0AAAAAA,010200
14308,18083,7709694,0102000N0AAABAB,010200
12471,15737,11720,0102000N0AAAPAP,010200
14778,18663,3820,0102000N0AAAQAQ,010200
86,115,1974840,0102000N0BBAAAB,010200
1649,2092,7799,0102000N0BBABAA,010200
19972,25229,17352,0102000N0BBACAB,010200
22225,28042,16118,0102000N0BBADAB,010200
1889,2398,331089,0102000P0AAAAAA,010200
946,1195,10515292,0102000P0AAABAB,010200
6468,8143,1537328,0102000P0AAADAD,010200
321,414,84,0102000P0AAAEAE,010200
18976,23987,1289741,0102000P0BCABAB,010200
3236,4089,10754,0102000P0BCACAB,010200
4608,5810,264704,0102000P0BCAEAD,010200
2978,3757,2327506,0102000T0AAAAAA,010200
5856,7377,1525,0102000T0AAABAB,010200
14669,18533,920401,0102000T0AAAFAF,010200
2441,3091,623322,0102000T0BBAAAF,010200
22314,28157,180579,0102000T0BCAAAA,010200
18016,22794,11644,0102000T0BIAAAA,010200
7417,9346,1592,0102000T0BJAAAA,010200
10715,13511,203807,0102000X0AAAAAA,010200
15370,19434,219369,0102000X0BCAAAA,010200
9846,12434,435431,0102000Y0AAAFAF,010200
14243,17999,61360,0102000Y0BBAAAF,010200
3311,4179,48,010300000AAAAAA,010300
2882,3634,15,010300000AAABAB,010300
16039,20275,99,010300000AAADAD,010300
4385,5526,5,010300000AAAEAE,010300
18579,23497,303,010300000BBAAAA,010300
15311,19348,143,010300000BBABAB,010300
12536,15826,344,010300000BBADAD,010300
16877,21366,1,010300000BBAEAE,010300
14854,18764,10908,0103010D0AAAAAA,010301
16532,20937,159411,0103010D0AAABAB,010301
3001,3787,2226,0103010D0AAACAC,010301
10754,13566,31410,0103010D0AAADAD,010301
1934,2454,29410,0103010D0AAALAL,010301
21396,27003,854,0103010D0BBAAAA,010301
21909,27632,1336,0103010D0BBABAB,010301
9077,11441,4800,0103010D0BBADAD,010301
6050,7616,22437,0103010H0AAAAAA,010301
8725,11012,18274,0103010H0AAABAB,010301
279,361,115943,0103010N0AAAAAA,010301
13757,17371,15606,0103010N0AAABAB,010301
10711,13507,17207597,0103010T0AAAAAA,010301
21584,27233,3066415,0103010T0AAACAC,010301
11161,14088,1312,0103010T0AAADAD,010301
12759,16108,4876087,0103010T0AAAEAE,010301
560,710,99180,0103010T0AAAIAI,010301
8033,10120,24030,0103010T0AAAJAJ,010301
10223,12903,55109,0103010T0AAAPAP,010301
14752,18630,400,0103010T0AAAYAY,010301
21521,27154,430,0103010T0AABABA,010301
345,443,50484,0103010T0AABQBQ,010301
21969,27714,48406,0103010T0AABRBR,010301
2095,2652,150234,0103010T0BBAAAA,010301
3748,4728,33113,0103010T0BBACAC,010301
