,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3105,3972,17876,0101010C0AAAAAA,010101
110,146,28233,0101010C0BBAAAA,010101
16908,21603,2379,0101010F0AAAUAU,010101
1577,2032,1539926,0101010G0AAABAB,010101
4865,6207,1223682,0101010G0BBABAB,010101
3223,4130,1502894,0101010G0BCABAB,010101
2058,2633,5112,0101010I0AAABAB,010101
6761,8608,18140,0101010I0AAACAC,010101
10781,13746,828,0101010I0AAAEAE,010101
10854,13834,172,0101010I0AAAHAH,010101
17456,22293,60,0101010I0AAALAL,010101
9560,12218,348,0101010I0AAAXAX,010101
18490,23610,1106,0101010I0AAAYAY,010101
6288,8018,1495,0101010I0AABIBI,010101
15522,19825,200,0101010I0AABPBP,010101
9470,12105,9418,0101010I0BEAAAC,010101
8418,10759,182200,0101010J0AAAAAA,010101
8885,11342,21656,0101010J0AAAHAH,010101
4862,6203,1000,0101010L0AAAIAI,010101
8579,10956,1500,0101010L0BBABAA,010101
3212,4118,527675,0101010L0BEAAAI,010101
10561,13454,97300,0101010N0AAABAB,010101
4789,6112,46980,0101010P0AAAAAA,010101
13606,17341,122260,0101010P0BBAAAA,010101
19411,24767,118605,0101010Q0AAAAAA,010101
18520,23645,48120,0101010Q0BDACAA,010101
18754,23949,14878,0101010R0AAAAAA,010101
9865,12593,52800,0101010R0AAABAB,010101
10787,13754,4143,0101010R0AAADAD,010101
11883,15151,20634,0101010R0AAAEAE,010101
17868,22817,19911,0101010R0AAAHAH,010101
260,342,131900,0101010R0BCAAAB,010101
9741,12442,23800,0101010R0BEAAAD,010101
20259,25849,7284,0101010R0BFAAAE,010101
14184,18112,3542,0101010R0BFABAH,010101
6651,8472,2248,0101010R0BHAAAA,010101
10799,13768,300,0101010U0AAAAAA,010101
1593,2054,4500,0101010U0BBAAAA,010101
6133,7813,300,0101012A0AAAAAA,010101
9676,12360,2230,0101012A0BBAAAA,010101
11104,14153,219832,0101012B0AAABAB,010101
15867,20265,1100,0101012B0AAALAL,010101
11352,14466,45951,0101012B0AAAPAP,010101
402,514,28730,0101012B0AAAUAU,010101
7995,10207,300,0101012B0AABABA,010101
12549,15995,3000,0101012B0AABMBM,010101
14408,18393,1700,0101012B0AABSBS,010101
9174,11730,580,0101012B0AABVBV,010101
15468,19761,5430,0101012B0AABWBW,010101
12721,16200,104180,0101012B0BCAAAB,010101
21610,27521,290,0101012B0BEAABV,010101
860,1098,18100,0101012B0BIAAAB,010101
5936,7567,252,010102100AAABAB,010102
