,stripped_bnf_code,quantity
0,010101,6236828
1,010102,175730134
2,010200,32376758
3,010300,930
4,010301,24949340
5,010302,2502
6,010303,130183
7,010304,37746
8,010305,173295484
9,010401,5450
10,010402,12146974
11,010403,440
12,010501,25192263
13,010502,357534
14,010504,162104
15,010601,8007127
16,010602,45931841
17,010603,56688
18,010604,170954785
19,010605,13966
20,010606,8945
21,010607,318217
22,010701,612653
23,010702,2498803
24,010703,2
25,010704,197000
26,010801,39954
27,010901,2477326
28,010904,9993749
29,020101,6945160
30,020201,47481563
31,020202,38035625
32,020203,7523127
33,020204,1953185
34,020208,171
35,020302,4293915
36,020400,113436882
37,020501,847108
38,020502,2352047
39,020504,25206971
40,020505,188457507
41,020601,14739075
42,020602,116873902
43,020603,10898243
44,020604,1306308
45,020702,340192
46,020703,15
47,020801,632861
48,020802,61303228
49,020900,92078113
50,021100,2237613
51,021200,193054741
52,030101,6482121
53,030102,13268037
54,030103,3847871
55,030104,263422
56,030200,2246708
57,030301,1947
58,030302,6509173
59,030303,4586
60,030401,52503378
61,030402,5728
62,030403,45080
63,030700,26529887
64,030800,80650
65,030901,7084328
66,030902,5756774
67,031000,1041142
68,040101,19203364
69,040102,17134570
70,040103,21894
71,040201,29052316
72,040202,35038
73,040203,5268432
74,040301,67334995
75,040302,243802
76,040303,101040126
77,040304,32699628
78,040400,4357621
79,040501,3207840
80,040600,35072266
81,040701,416451382
82,040702,183055117
83,040703,130
84,040704,8528324
85,040801,178324942
86,040802,46522
87,040901,22724749
88,040902,4085168
89,040903,447221
90,041001,1197956
91,041002,2733222
92,041003,88350893
93,041100,6853478
94,050101,71495089
95,050102,2918193
96,050103,11843576
97,050104,25460
98,050105,13459636
99,050106,359034
100,050107,369913
101,050108,7715147
102,050109,256253
103,050110,90197
104,050111,1219129
105,050112,1241072
106,050113,5156203
107,050201,884137
108,050202,616
109,050203,2043945
110,050204,7
111,050205,1681634
112,050301,16286
113,050302,3620513
114,050303,4680
115,050304,833
116,050305,287
117,050401,8378880
118,050402,30
119,050404,8085
120,050405,84
121,050408,9720
122,050501,313828
123,050502,2217
124,050503,147
125,050505,76
126,050506,179
127,060101,4350918
128,060102,220928716
129,060104,1965626
130,060106,56506524
131,060201,96697402
132,060202,2542271
133,060301,1281899
134,060302,33841870
135,060401,15512705
136,060402,9921042
137,060403,1880
138,060501,47482
139,060502,1099876
140,060601,315
141,060602,3220570
142,060701,145401
143,060702,26043
144,060703,16955
145,070101,112
146,070201,3663400
147,070202,1012865
148,070301,32651939
149,070302,28405068
150,070303,17193
151,070305,14168
152,070401,20038596
153,070402,22262551
154,070403,786423
155,070404,8329
156,070405,2470927
157,070406,2939
158,080100,9288
159,080101,2453
160,080103,233423
161,080105,428694
162,080201,6393523
163,080202,1677326
164,080204,302
165,080301,34760
166,080302,77231
167,080304,6707652
168,090101,46118637
169,090102,19171729
170,090103,10789
171,090104,11811
172,090106,185
173,090201,6328718
174,090202,1068914
175,090401,452924147
176,090402,1586387096
177,090501,3242309
178,090502,1567259
179,090503,1704450
180,090504,229478
181,090505,4346
182,090601,397250
183,090602,18457537
184,090603,491073
185,090604,96037135
186,090605,370311
187,090606,77723
188,090607,3865718
189,090700,200
190,090801,230773
191,090900,47954699
192,091000,1406929
193,091101,139990
194,091102,120816
195,091103,922
196,091104,119848
197,091200,313239
198,100101,66315299
199,100102,81867
200,100103,9437595
201,100104,19952837
202,100105,16367
203,100201,1114982
204,100202,18839943
205,100301,91
206,100302,69206388
207,110301,1110627
208,110303,9720
209,110401,988251
210,110402,1192440
211,110500,90725
212,110600,7519481
213,110700,1352
214,110801,10342407
215,110802,93844
216,110803,11040
217,120101,621373
218,120102,4940
219,120103,84546
220,120201,1264716
221,120202,970118
222,120203,507612
223,120301,7219320
224,120302,558343
225,120303,24884
226,120304,9634088
227,120305,742558
228,130101,5005285
229,130201,495398799
230,130202,16230609
231,130203,8575
232,130300,5022206
233,130400,50546780
234,130501,235381
235,130502,9840903
236,130503,644480
237,130601,5895893
238,130602,1088023
239,130603,26220
240,130700,263103
241,130801,2103201
242,130802,169944
243,130900,26710203
244,131001,3432738
245,131002,4930371
246,131003,90301
247,131004,1963332
248,131005,121771
249,131101,163740
250,131102,7646836
251,131103,579593
252,131104,189756
253,131105,177347
254,131106,59389
255,131107,83
256,131200,336803
257,131301,17999
258,131400,606105
259,131500,16372
260,140400,5095562
261,140501,26
262,140502,3
263,150101,384
264,150102,75
265,150103,89296
266,150104,139011
267,150107,2
268,150201,1793489
269,180300,6100
