,bnf_code,quantity,original_bnf_code,stripped_bnf_code
3130,3972,20973,0101010C0AAAAAA,010101
111,146,27029,0101010C0BBAAAA,010101
16959,21603,3217,0101010F0AAAUAU,010101
2833,3580,90,0101010F0BCAAAU,010101
1602,2032,1556288,0101010G0AAABAB,010101
4868,6207,1323001,0101010G0BBABAB,010101
3249,4130,1532108,0101010G0BCABAB,010101
2084,2633,6850,0101010I0AAABAB,010101
6772,8608,17542,0101010I0AAACAC,010101
10829,13746,1166,0101010I0AAAEAE,010101
10906,13834,56,0101010I0AAAHAH,010101
17503,22293,120,0101010I0AAALAL,010101
18459,23487,540,0101010I0AAATAT,010101
9594,12218,424,0101010I0AAAXAX,010101
18557,23610,836,0101010I0AAAYAY,010101
6294,8018,2259,0101010I0AABIBI,010101
9497,12105,12146,0101010I0BEAAAC,010101
682,859,480,0101010I0BFABAB,010101
8434,10759,229331,0101010J0AAAAAA,010101
8910,11342,21589,0101010J0AAAHAH,010101
4865,6203,5600,0101010L0AAAIAI,010101
8599,10956,500,0101010L0BBABAA,010101
3238,4118,523695,0101010L0BEAAAI,010101
9978,12693,672,0101010L0BGACA0,010101
10589,13454,77890,0101010N0AAABAB,010101
4799,6112,45440,0101010P0AAAAAA,010101
13641,17341,118420,0101010P0BBAAAA,010101
19480,24767,120025,0101010Q0AAAAAA,010101
18589,23645,48760,0101010Q0BDACAA,010101
18823,23949,16786,0101010R0AAAAAA,010101
9898,12593,57450,0101010R0AAABAB,010101
10837,13754,5650,0101010R0AAADAD,010101
11928,15151,22185,0101010R0AAAEAE,010101
17928,22817,21670,0101010R0AAAHAH,010101
265,342,147200,0101010R0BCAAAB,010101
9775,12442,24010,0101010R0BEAAAD,010101
20312,25849,8705,0101010R0BFAAAE,010101
14253,18112,2725,0101010R0BFABAH,010101
6657,8472,1680,0101010R0BHAAAA,010101
13143,16689,250,0101010T0BBAAA0,010101
10850,13768,1800,0101010U0AAAAAA,010101
1619,2054,3630,0101010U0BBAAAA,010101
6136,7813,600,0101012A0AAAAAA,010101
9708,12360,3580,0101012A0BBAAAA,010101
11146,14153,261895,0101012B0AAABAB,010101
15939,20265,200,0101012B0AAALAL,010101
11388,14466,41600,0101012B0AAAPAP,010101
8926,11362,90,0101012B0AAATAT,010101
409,514,25400,0101012B0AAAUAU,010101
4474,5692,1800,0101012B0AAAZAZ,010101
8020,10207,280,0101012B0AABABA,010101
174,223,250,0101012B0AABKBK,010101
12584,15995,200,0101012B0AABMBM,010101
14474,18393,4770,0101012B0AABSBS,010101
9198,11730,435,0101012B0AABVBV,010101
15542,19761,10780,0101012B0AABWBW,010101
12760,16200,89728,0101012B0BCAAAB,010101
21663,27521,290,0101012B0BEAABV,010101
866,1098,23800,0101012B0BIAAAB,010101
5933,7567,396,010102100AAABAB,010102
17826,22696,276,010102100AAAFAF,010102
