,stripped_bnf_code,quantity
0,010101,6476486
1,010102,181140531
2,010200,34127475
3,010300,904
4,010301,25670294
5,010302,2664
6,010303,124219
7,010304,41711
8,010305,178991953
9,010401,1000
10,010402,12654029
11,010403,971
12,010501,25913774
13,010502,370245
14,010504,166862
15,010601,8324297
16,010602,47028068
17,010603,67369
18,010604,176216439
19,010605,14234
20,010606,7648
21,010607,324256
22,010701,633140
23,010702,2462083
24,010703,16
25,010704,185640
26,010801,40422
27,010901,2538914
28,010904,10381748
29,020101,7231537
30,020201,49453465
31,020202,39842027
32,020203,7788951
33,020204,2053218
34,020208,658
35,020302,4433605
36,020400,117205259
37,020501,864250
38,020502,2453833
39,020504,26094272
40,020505,194547147
41,020601,15196052
42,020602,120240428
43,020603,11263733
44,020604,1355716
45,020702,340277
46,020703,50
47,020801,657382
48,020802,63115603
49,020900,95495660
50,021100,2337831
51,021200,199131997
52,021300,1
53,030101,6553683
54,030102,13696535
55,030103,4001613
56,030104,266015
57,030200,2259859
58,030301,1409
59,030302,6621635
60,030303,5465
61,030401,61429101
62,030402,7618
63,030403,71976
64,030700,26988660
65,030800,64640
66,030901,5585928
67,030902,3878110
68,031000,754255
69,031101,252
70,040101,20013145
71,040102,17936867
72,040103,21988
73,040201,29880831
74,040202,35958
75,040203,5374740
76,040301,69654171
77,040302,267128
78,040303,104261624
79,040304,33558921
80,040400,4594560
81,040501,3459607
82,040600,36888534
83,040701,427481882
84,040702,191171946
85,040703,100
86,040704,9035945
87,040801,183645544
88,040802,53223
89,040901,23418382
90,040902,4189210
91,040903,460873
92,041001,1237781
93,041002,2749645
94,041003,89929286
95,041100,6971171
96,050101,60194703
97,050102,2937528
98,050103,11993187
99,050104,30682
100,050105,11943542
101,050106,381148
102,050107,377196
103,050108,7951905
104,050109,275989
105,050110,95852
106,050111,1270815
107,050112,1265482
108,050113,5394934
109,050201,976241
110,050202,674
111,050203,2095003
112,050204,4
113,050205,1849018
114,050301,17914
115,050302,3660178
116,050303,3420
117,050304,371
118,050305,84
119,050401,8825472
120,050404,7318
121,050405,21
122,050408,7692
123,050501,333279
124,050502,1520
125,050503,127
126,050505,124
127,050506,380
128,060101,4514453
129,060102,227977518
130,060104,2144989
131,060106,58232012
132,060201,99904192
133,060202,2620571
134,060301,1310113
135,060302,32760695
136,060401,16639246
137,060402,10217493
138,060403,2740
139,060501,48998
140,060502,1137611
141,060601,281
142,060602,3343978
143,060701,158171
144,060702,27272
145,060703,14127
146,060704,1
147,070101,1
148,070201,3774552
149,070202,1065025
150,070301,35056559
151,070302,29848323
152,070303,21576
153,070305,14654
154,070401,20685471
155,070402,22960977
156,070403,771234
157,070404,5459
158,070405,2548540
159,070406,2878
160,080100,9594
161,080101,2628
162,080103,241636
163,080105,456973
164,080201,6613496
165,080202,1771979
166,080203,1
167,080204,426
168,080301,38939
169,080302,76711
170,080304,6910547
171,090101,48055099
172,090102,19588700
173,090103,12820
174,090104,14021
175,090106,203
176,090201,6558562
177,090202,1177756
178,090401,461396406
179,090402,1691209998
180,090501,3308393
181,090502,1578157
182,090503,1765458
183,090504,237325
184,090505,5013
185,090601,403007
186,090602,18970850
187,090603,515701
188,090604,98299849
189,090605,382511
190,090606,78236
191,090607,3997077
192,090700,300
193,090801,215877
194,090900,49174910
195,091000,1456635
196,091101,139154
197,091102,146160
198,091103,1068
199,091104,122848
200,091200,312893
201,100101,69868761
202,100102,84737
203,100103,9680175
204,100104,20668377
205,100105,19166
206,100201,1122074
207,100202,19852549
208,100301,48
209,100302,71830588
210,110301,1114645
211,110302,10
212,110303,9585
213,110401,992192
214,110402,1452094
215,110500,90937
216,110600,7646720
217,110700,1335
218,110801,10724432
219,110802,91251
220,110803,13990
221,120101,732911
222,120102,5015
223,120103,89164
224,120201,1294429
225,120202,993167
226,120203,474522
227,120301,7353615
228,120302,568335
229,120303,17441
230,120304,10003290
231,120305,778048
232,130101,4983595
233,130201,514992133
234,130202,16696578
235,130203,11225
236,130300,5259363
237,130400,52070683
238,130501,243826
239,130502,10073942
240,130503,675380
241,130601,6291839
242,130602,1182007
243,130603,25380
244,130700,304503
245,130801,2787591
246,130802,162294
247,130900,27473002
248,131001,3721485
249,131002,5253654
250,131003,91157
251,131004,1967039
252,131005,137925
253,131101,161200
254,131102,8081359
255,131103,594891
256,131104,202029
257,131105,190795
258,131106,63978
259,131107,72
260,131200,455756
261,131301,19123
262,131400,640700
263,131500,21284
264,140400,2341975
265,140501,21
266,140502,9
267,140503,1
268,150101,316
269,150102,84
270,150103,91032
271,150104,135765
272,150107,12
273,150201,1868790
274,180300,3400
